帧号,速度(m/s),距离(m),角度(deg),SNR(dB)
200,-8.251058900291959,118.03777208706788,4.178740295057641,24.124606045428788
200,-8.251058900291959,120.03841229193344,4.084358682984499,22.170170914110003
200,-8.207859639033884,116.03713188220232,4.273378738130781,13.670453610035125
200,-8.207859639033884,122.039052496799,4.558913532559771,16.162545858575143
200,-8.207859639033884,124.03969270166456,4.463457333427279,9.365249321921734
200,-8.207859639033884,128.04097311139566,3.616042621274537,4.970733305168979
200,-8.207859639033884,130.04161331626122,3.616042621274537,2.592016697009609
200,-5.529505441033354,148.04737516005122,1.878475834666518,7.099843021894396
200,-5.529505441033354,150.04801536491678,1.7883722008150804,11.043670360489164
200,-2.7215534592586046,196.0627400768246,0.1782136434295377,9.596194050113349
200,-2.7215534592586046,198.06338028169017,0.2673321658219647,10.995156744410007
200,4.731939080056183,14.5,-18.797368824406544,23.8497794081472
200,4.800517907303373,16.0,-20.827496932012146,23.07456671540794
200,5.006254389044948,18.0,-13.493398821551688,5.343085657662185
200,5.2805696980337125,25.0,-11.536959032815483,24.2018115084117
200,5.2805696980337125,26.5,-12.187474135425033,23.068059605102377
200,5.349148525280903,34.0,-8.305109528050384,9.426982860541376
200,5.349148525280903,36.0,-8.94901806532924,7.541139579611944
200,8.092301615168545,55.0,-8.94901806532924,7.3081306530652785
201,-8.251058900291959,128.04097311139566,3.616042621274537,5.9130340173172
201,-8.251058900291959,130.04161331626122,3.52304778083435,3.043841926057349
201,-8.207859639033884,116.03713188220232,3.990226306024175,19.529001738897836
201,-8.207859639033884,118.03777208706788,3.990226306024175,23.80436490235672
201,-8.207859639033884,120.03841229193344,3.802679657053973,19.44729826056132
201,-8.207859639033884,122.039052496799,3.7092509564831633,12.127106868981183
201,-5.48630617977528,148.04737516005122,2.2399605578440918,13.592808581103322
201,-5.48630617977528,150.04801536491678,2.2399605578440918,15.35643736399309
201,-2.7215534592586046,186.0595390524968,0.5347907946316289,6.850283217173798
201,4.663360252808992,16.0,-23.578178478201835,11.56198603703004
201,4.800517907303373,15.0,-18.797368824406544,23.2584170010011
201,4.800517907303373,16.5,-21.51018826688749,26.96285731771368
201,5.006254389044948,18.0,-14.14900450893464,0.4792697028108089
201,5.211990870786519,26.0,-10.887948130120163,25.591567657994275
201,5.211990870786519,27.5,-11.536959032815483,15.431024308795312
201,5.349148525280903,34.5,-8.94901806532924,7.932766374599095
201,8.092301615168545,56.0,-9.59406822686046,8.59003984319498
202,-8.251058900291959,126.0403329065301,3.616042621274537,2.1015074388934347
202,-8.207859639033884,114.03649167733676,4.178740295057641,14.072755261734777
202,-8.207859639033884,116.03713188220232,4.084358682984499,24.337788274685927
202,-8.207859639033884,118.03777208706788,3.990226306024175,24.171871374921604
