Frame,cid,gid,pred_x,pred_y,gt_x,gt_y,dx,dy,model
20,1,16,-1.8161712714122564,196.70615578043973,-1.7499999999999996,197.43938654596732,0.06617127141225687,0.733230765527594,1
21,1,16,-1.802561593227672,195.17574220993794,-1.7500000000000002,195.94037834048413,0.05256159322767173,0.7646361305461937,1
22,1,19,-4.984183593548571,195.97949215917475,-5.250000000000004,196.94011945211741,-0.26581640645143345,0.9606272929426609,1
22,2,16,-1.4083308081469843,195.07130147988636,-1.7499999999999998,194.44112207037435,-0.3416691918530155,-0.6301794095120101,1
23,1,19,-5.090209106026367,195.10994826978137,-5.250000000000004,196.94011945211741,-0.15979089397363744,1.830171182336045,1
24,2,16,-1.0948639920236811,192.24896077320327,-1.7499999999999998,191.44451283294663,-0.6551360079763187,-0.8044479402566367,1
24,3,19,-4.925165542632419,195.03337130653122,-5.25,194.15304758036314,-0.3248344573675812,-0.8803237261680863,1
25,1,16,-1.442385979277728,190.078205800041,-1.7499999999999998,189.9441760560711,-0.30761402072227173,-0.1340297439699043,1
25,2,15,-8.689422300482383,198.46015221501622,-8.749999999999998,197.3824999239704,-0.06057769951761571,-1.0776522910458084,0
25,3,19,-4.94506038694584,193.98880095194082,-5.25,192.75968583057102,-0.3049396130541604,-1.2291151213698015,1
26,1,16,-1.6694919641407768,187.9772803175103,-1.7500000000000002,188.44402578007978,-0.08050803585922339,0.46674546256949156,1
26,2,19,-4.899745951807286,192.19697245276095,-5.250000000000001,191.36183367774436,-0.3502540481927152,-0.8351387750165884,1
26,3,15,-9.125504478371774,196.3468413734892,-8.75,196.17220616863457,0.3755044783717736,-0.17463520485463846,0
27,1,19,-4.829559853614839,190.11460233715596,-5.25,189.96554983940737,-0.42044014638516103,-0.14905249774858476,1
27,2,15,-8.752203240802475,195.41503873413114,-8.75,194.95436313019835,0.002203240802474582,-0.46067560393279905,0
27,3,16,-1.418384220638881,187.02505565605108,-1.7500000000000004,186.94386350273018,-0.3316157793611194,-0.0811921533208988,1
28,1,16,-1.528522900786714,185.74186928992356,-1.7499999999999998,185.4397134520838,-0.22147709921328573,-0.30215583783976285,1
28,2,15,-8.306584224125473,195.2694028076579,-8.75,193.73278607045947,-0.4434157758745272,-1.5366167371984432,0
29,1,16,-1.6558802402446355,183.96450121408986,-1.7500000000000002,183.94649381307934,-0.09411975975536468,-0.018007401010521562,1
29,2,19,-4.955637295533779,187.38137388041758,-5.250000000000002,187.18515739525634,-0.2943627044662227,-0.19621648516124424,1
29,3,15,-8.069816662265815,194.23384925942042,-8.749999999999996,192.5228889949623,-0.6801833377341815,-1.710960264458123,0
30,1,16,-1.6953788496160644,181.96011735109823,-1.7500000000000002,182.4533534581604,-0.05462115038393578,0.4932361070621596,1
30,2,19,-5.603607795252948,185.80643438804847,-5.250000000000001,185.79694330237965,0.3536077952529473,-0.009491085668827282,1
30,3,15,-8.573099709567895,192.4271610059911,-8.749999999999998,191.30786138989635,-0.1769002904321031,-1.1192996160947644,0
31,1,16,-1.6941820469951163,179.88297392915507,-1.75,180.96032279652604,-0.05581795300488368,1.0773488673709721,1
32,1,16,-2.0750838587545983,178.95115848778232,-1.7499999999999998,179.46763826920426,0.32508385875459855,0.5164797814219355,1
32,2,15,-9.057817823738837,189.78949545766164,-8.75,188.87882043141823,0.30781782373883715,-0.9106750262434105,0
32,3,19,-5.0165964694067355,183.38074134049876,-5.25,183.00316596524274,-0.23340353059326446,-0.3775753752560149,1
33,1,16,-1.773528737488335,177.69569885458444,-1.7499999999999998,177.96286892275108,0.023528737488335283,0.26717006816664934,1
33,2,19,-5.180672136832728,181.85965354153637,-5.25,181.61216982103753,-0.06932786316727224,-0.24748372049884892,1
33,3,15,-8.57672685673989,188.15702009467776,-8.75,187.65614601478052,-0.17327314326010956,-0.500874079897244,0
34,1,16,-1.6203721182197253,175.93908142416728,-1.75,176.4616122403493,-0.12962788178027473,0.5225308161820124,1
34,2,19,-5.679322832694716,179.92987786200308,-5.250000000000002,180.21775082637168,0.42932283269471405,0.2878729643686029,1
34,3,15,-8.54873948010143,186.19985145420898,-8.75,186.4371467140129,-0.20126051989856997,0.23729525980391486,0
