Frame,V,R,A,SNR_db,X,Y,Label
78,-2.1259436446629216,23.0,43.54221902815587,18.74631413473627,16.41787643596658,15.602991166226216,1
78,-1.7144706811797723,23.0,42.6702338712576,13.443337918358507,16.653428075524467,15.35133001838386,1
78,-1.5087341994382015,23.0,41.8103148957786,6.064478848697593,16.881943016134134,15.099668870541501,1
79,-2.194522471910112,25.5,49.07393669039544,7.339287738719151,16.497859943521448,19.02815328096635,1
79,-2.057364817415728,23.0,42.6702338712576,6.362437517623624,16.653428075524467,15.35133001838386,2
79,-1.7830495084269664,25.5,47.166571933932765,13.940879708956787,17.12204556834388,18.468501713879114,1
79,-1.2344188904494366,23.0,41.8103148957786,7.592726099910559,16.881943016134134,15.099668870541501,2
79,-0.8915247542134814,23.0,41.8103148957786,11.245952336800123,16.881943016134134,15.099668870541501,2
79,-0.6172094452247165,23.0,40.961788552349375,21.680506139575368,17.103703302696367,14.848007722699144,2
80,-2.811731917134832,29.0,53.13010235415599,18.316662944102227,17.233687939614082,22.978250586152118,-1
80,-2.194522471910112,26.0,48.111403084958994,11.552464341229268,17.153123028464222,19.125124061568084,1
80,-1.8516283356741567,25.5,48.111403084958994,1.0611221238130133,16.815178145038566,18.748327497422732,1
80,-1.7144706811797723,28.0,53.13010235415599,7.053680012577122,16.627687752661217,22.170250336881633,2
80,-1.5087341994382015,23.0,42.6702338712576,6.0133904086211745,16.653428075524467,15.35133001838386,3
80,-1.4401553721910112,28.0,52.08179734355447,17.033663033558806,17.03051727102023,21.86233019331383,2
80,-1.3715765449438173,25.5,48.111403084958994,6.774438118734584,16.815178145038566,18.748327497422732,1
80,-1.2344188904494366,23.0,41.8103148957786,12.569690165087906,16.881943016134134,15.099668870541501,3
80,-1.1658400632022463,25.5,47.166571933932765,11.344959392637948,17.12204556834388,18.468501713879114,1
80,-0.8229459269662911,23.0,41.8103148957786,5.262303145882969,16.881943016134134,15.099668870541501,3
80,-0.5486306179775262,23.0,40.961788552349375,13.435083788476074,17.103703302696367,14.848007722699144,3
80,-0.1371576544943806,23.0,40.12403459351642,5.275208293487127,17.31896840653815,14.596346574856787,3
80,0.0685788272471938,23.0,40.12403459351642,3.2837105654088967,17.31896840653815,14.596346574856787,3
80,0.3428941362359552,23.0,39.296480239187495,19.807079758943342,17.527977635768483,14.344685427014422,3
80,0.4800517907303394,23.5,38.47859513329794,20.673116163868205,18.12829791197136,14.408845020153935,3
81,-2.4688377808988773,29.0,53.13010235415599,7.756421495135265,17.233687939614082,22.978250586152118,1
81,-2.2631012991573023,28.5,53.13010235415599,17.667413246298423,16.930741271426953,22.574321695235945,1
81,-2.1259436446629216,26.0,47.166571933932765,5.900632209934241,17.46615775340033,18.83967444870886,2
81,-2.1259436446629216,29.0,52.08179734355447,6.829450831556407,17.651198679262965,22.659108216900005,1
81,-1.5773130266853919,28.0,54.204632456312396,7.93874367030985,16.209005270276517,22.478170480449425,1
81,-1.5087341994382015,26.0,47.166571933932765,13.009335656879193,17.46615775340033,18.83967444870886,2
81,-1.3715765449438173,28.0,54.204632456312396,5.955133879437884,16.209005270276517,22.478170480449425,1
81,-1.302997717696627,25.5,48.111403084958994,2.767028438901118,16.815178145038566,18.748327497422732,2
