Frame,X,Y,V,SNR,Label,Center_X,Center_Y
81,7.705555555555555,0.0,2.811731917134836,19.54157849278652,1,7.7296296296296285,1.7731592424575084
81,7.705555555555555,0.0,3.0860472261235965,19.277189409529164,1,7.7296296296296285,1.7731592424575084
81,7.777777777777778,1.8724777273725255,3.4289413623595517,7.3986246853351965,1,7.7296296296296285,1.7731592424575084
82,8.400000000000002,1.9209372712298503,0.7543670997191043,8.99673667240428,1,8.255555555555556,2.1094686356149253
82,8.11111111111111,0.0,0.9601035814606752,17.96515584486428,1,8.255555555555556,2.1094686356149253
82,7.705555555555555,0.0,3.8404143258426977,15.695978867292393,2,7.896527777777777,2.8220258123922606
82,8.000000000000002,0.0,4.251887289325847,18.081909676166934,2,7.896527777777777,2.8220258123922606
82,8.000000000000002,0.0,4.526202598314608,8.327932055792429,2,7.896527777777777,2.8220258123922606
82,7.777777777777778,1.8724777273725255,4.937675561797756,20.99458288136912,2,7.896527777777777,2.8220258123922606
82,7.777777777777778,1.8724777273725255,5.074833216292138,17.841021359336413,2,7.896527777777777,2.8220258123922606
82,8.31111111111111,3.990668126863652,5.2805696980337125,3.5350102380882853,2,7.896527777777777,2.8220258123922606
82,7.666666666666666,2.2852182001336843,5.349148525280904,6.308635287611122,2,7.896527777777777,2.8220258123922606
82,7.933333333333332,3.3633647173956973,5.554885007022474,6.453380740334835,2,7.896527777777777,2.8220258123922606
83,4.261111111111111,0.0,0.06857882724719389,15.915844477455556,1,4.395925925925926,1.3448243369118793
83,4.261111111111111,0.0,0.2743153089887649,15.528461119535635,1,4.395925925925926,1.3448243369118793
83,4.333333333333334,0.0,0.4800517907303394,13.318066682773075,1,4.395925925925926,1.3448243369118793
83,6.222222222222222,0.0,0.4800517907303394,1.3802739755250129,2,6.222222222222221,1.149
83,4.405555555555557,0.0,0.6172094452247201,8.512888891118449,1,4.395925925925926,1.3448243369118793
83,4.666666666666667,0.0,0.7543670997191043,10.71694160720421,1,4.395925925925926,1.3448243369118793
83,6.311111111111111,0.0,0.7543670997191043,4.251040469668638,2,6.222222222222221,1.149
83,4.261111111111111,0.0,1.0972612359550595,15.23858558688086,1,4.395925925925926,1.3448243369118793
83,4.261111111111111,0.0,1.3715765449438209,5.71217613148911,1,4.395925925925926,1.3448243369118793
83,6.133333333333333,0.0,1.4401553721910147,15.745378777176347,2,6.222222222222221,1.149
83,4.588888888888889,0.0,1.5773130266853954,8.690829117649312,1,4.395925925925926,1.3448243369118793
83,4.588888888888889,0.0,1.78304950842697,11.898128891765175,1,4.395925925925926,1.3448243369118793
83,8.11111111111111,0.0,1.9887859901685412,-8.864196276943757,3,7.857407407407408,2.6381518326748346
83,4.277777777777779,0.0,2.0573648174157317,-2.5759574957935385,1,4.395925925925926,1.3448243369118793
83,7.705555555555555,0.0,2.125943644662925,-7.973829820575001,3,7.857407407407408,2.6381518326748346
83,4.511111111111111,0.0,2.331680126404496,4.828195291068704,1,4.395925925925926,1.3448243369118793
83,4.333333333333333,1.2133516482134195,2.4688377808988804,-1.6964806218870132,1,4.395925925925926,1.3448243369118793
83,4.416666666666666,0.8620067027323843,2.6745742626404514,12.820103309042027,1,4.395925925925926,1.3448243369118793
83,4.416666666666666,0.8620067027323843,2.811731917134836,7.954877026959594,1,4.395925925925926,1.3448243369118793
83,8.283333333333333,2.374108019633669,3.0860472261235965,4.3002821062383285,3,7.857407407407408,2.6381518326748346
83,7.705555555555555,0.0,3.2917837078651715,1.8450728274757229,3,7.857407407407408,2.6381518326748346
83,4.355555555555556,0.0,3.4289413623595517,1.7375291216143849,1,4.395925925925926,1.3448243369118793
83,7.600000000000001,0.0,3.8404143258426977,9.616135215857833,3,7.857407407407408,2.6381518326748346
83,7.4944444444444445,0.0,4.251887289325847,2.7056005466417097,3,7.857407407407408,2.6381518326748346
83,8.000000000000002,0.0,4.594781425561802,21.893510640856967,3,7.857407407407408,2.6381518326748346
83,8.000000000000002,0.0,4.937675561797756,7.630960425700393,3,7.857407407407408,2.6381518326748346
83,7.816666666666666,3.626254572175291,5.417727352528093,5.038749356717506,3,7.857407407407408,2.6381518326748346
83,7.933333333333332,3.3633647173956973,6.103515625000004,11.094198429059567,3,7.857407407407408,2.6381518326748346
83,7.816666666666666,3.626254572175291,6.65214624297753,0.7543182657503783,3,7.857407407407408,2.6381518326748346
83,7.822222222222221,4.879840110718062,6.9264615519662955,26.896882294582586,3,7.857407407407408,2.6381518326748346
84,4.405555555555557,0.0,0.2743153089887649,20.272017356703667,1,4.988530465949822,2.2741002721636088
84,4.333333333333334,0.0,0.4800517907303394,9.514129064023106,1,4.988530465949822,2.2741002721636088
84,5.572222222222222,2.280425290636123,0.4800517907303394,1.0848928773212776,1,4.988530465949822,2.2741002721636088
84,1.15,0.0,0.6172094452247201,13.5366284094924,2,1.8237777777777773,1.149
84,6.555555555555555,4.585268951547412,0.6172094452247201,-7.515542335986022,1,4.988530465949822,2.2741002721636088
84,5.572222222222222,2.280425290636123,0.6857882724719104,6.4670256977670615,1,4.988530465949822,2.2741002721636088
84,4.333333333333334,0.0,0.7543670997191043,2.7092486431093707,1,4.988530465949822,2.2741002721636088
84,2.3333333333333335,0.0,0.9601035814606752,-5.014626533170167,2,1.8237777777777773,1.149
84,1.1999999999999995,0.0,1.0286824087078656,-3.394691643543624,2,1.8237777777777773,1.149
84,4.333333333333334,0.0,1.0286824087078656,1.179210571436064,1,4.988530465949822,2.2741002721636088
84,5.855555555555555,1.4008815566643997,1.0972612359550595,13.756092249718304,1,4.988530465949822,2.2741002721636088
84,1.15,0.0,1.2344188904494402,3.541916571231709,2,1.8237777777777773,1.149
84,4.7666666666666675,0.0,1.3029977176966303,-4.526461430862482,1,4.988530465949822,2.2741002721636088
84,5.761111111111112,1.7491708794260434,1.3029977176966303,14.966390201355875,1,4.988530465949822,2.2741002721636088
84,1.15,0.0,1.3715765449438209,3.5163519297420938,2,1.8237777777777773,1.149
84,5.211111111111111,0.0,1.3715765449438209,-3.116609815140789,1,4.988530465949822,2.2741002721636088
84,5.761111111111112,1.7491708794260434,1.508734199438205,14.573291984282891,1,4.988530465949822,2.2741002721636088
84,2.2777777777777777,0.0,1.6458918539325855,0.2269069069822395,2,1.8237777777777773,1.149
84,5.444444444444445,0.0,1.6458918539325855,-0.3989574864860235,1,4.988530465949822,2.2741002721636088
84,5.477777777777777,2.498789830554773,1.8516283356741603,5.670021091141052,1,4.988530465949822,2.2741002721636088
84,4.261111111111111,0.0,1.9202071629213504,-0.8872660357447791,1,4.988530465949822,2.2741002721636088
84,2.388888888888889,0.0,1.9887859901685412,4.12573555138512,2,1.8237777777777773,1.149
84,5.666666666666667,2.0344259359556163,2.0573648174157317,11.246037744513908,1,4.988530465949822,2.2741002721636088
84,2.3333333333333335,0.0,2.125943644662925,3.860120262800175,2,1.8237777777777773,1.149
84,4.588888888888889,0.0,2.1945224719101155,1.3849746078995953,1,4.988530465949822,2.2741002721636088
84,1.1,0.0,2.2631012991573063,7.2526361020480214,2,1.8237777777777773,1.149
84,5.572222222222222,2.280425290636123,2.331680126404496,10.144841389711193,1,4.988530465949822,2.2741002721636088
84,4.588888888888889,0.0,2.4002589536516865,-0.6102671263466203,1,4.988530465949822,2.2741002721636088
84,1.15,0.0,2.5374166081460707,9.51168381639143,2,1.8237777777777773,1.149
84,5.799999999999999,3.3704599092705445,2.6059954353932606,0.6339783164656376,1,4.988530465949822,2.2741002721636088
84,1.15,0.0,2.811731917134836,-1.4696401987469567,2,1.8237777777777773,1.149
84,4.511111111111111,0.0,2.811731917134836,1.820523304928244,1,4.988530465949822,2.2741002721636088
84,2.3333333333333335,0.0,2.8803107443820264,-1.0471442765683583,2,1.8237777777777773,1.149
84,4.511111111111111,0.0,3.0174683988764066,1.7781307818949772,1,4.988530465949822,2.2741002721636088
84,2.3333333333333335,0.0,3.1546260533707877,-2.0711036393326707,2,1.8237777777777773,1.149
84,5.666666666666667,2.0344259359556163,3.1546260533707877,24.14348721997005,1,4.988530465949822,2.2741002721636088
84,4.511111111111111,0.0,3.2232048806179816,18.969325701431558,1,4.988530465949822,2.2741002721636088
84,2.3333333333333335,0.0,3.4289413623595517,-2.0564078542027633,2,1.8237777777777773,1.149
84,5.299999999999999,4.112177038990419,3.5660990168539364,-7.770986499955593,1,4.988530465949822,2.2741002721636088
84,2.2777777777777777,0.0,3.634677844101127,-4.187828769354071,2,1.8237777777777773,1.149
84,2.1111111111111107,0.0,3.7718354985955074,-5.213108497848149,2,1.8237777777777773,1.149
84,4.433333333333333,0.0,3.7718354985955074,-4.0100198186265965,1,4.988530465949822,2.2741002721636088
84,8.400000000000002,1.9209372712298503,3.8404143258426977,21.820794355348035,3,7.916666666666667,4.733861873742382
84,4.433333333333333,0.0,3.908993153089892,-3.800198999133844,1,4.988530465949822,2.2741002721636088
84,7.888888888888888,1.328695638122385,4.183308462078654,1.6120861722961977,3,7.916666666666667,4.733861873742382
84,1.6666666666666663,0.0,4.251887289325847,2.0103017323165298,2,1.8237777777777773,1.149
84,4.333333333333333,1.2133516482134195,4.251887289325847,9.451394782237676,1,4.988530465949822,2.2741002721636088
84,4.333333333333333,1.2133516482134195,4.594781425561802,13.076306141581835,1,4.988530465949822,2.2741002721636088
84,7.777777777777778,1.8724777273725255,4.594781425561802,-4.987440240829967,3,7.916666666666667,4.733861873742382
84,1.1111111111111112,0.0,4.663360252808992,-9.616390302151812,2,1.8237777777777773,1.149
84,4.333333333333333,1.2133516482134195,4.800517907303373,11.151985769130272,1,4.988530465949822,2.2741002721636088
84,4.416666666666666,0.8620067027323843,5.143412043539328,-7.174679686106594,1,4.988530465949822,2.2741002721636088
84,8.049999999999999,3.0736785778607376,5.143412043539328,-3.76980932675494,3,7.916666666666667,4.733861873742382
84,2.6,0.0,5.211990870786519,23.765752142523645,2,1.8237777777777773,1.149
84,2.138888888888889,0.0,5.486306179775284,0.166336934379888,2,1.8237777777777773,1.149
84,7.777777777777778,1.8724777273725255,5.554885007022474,-7.9728898140992905,3,7.916666666666667,4.733861873742382
84,7.666666666666666,2.2852182001336843,5.692042661516857,-9.622324191287452,3,7.916666666666667,4.733861873742382
84,1.7722222222222226,0.0,5.829200316011238,16.568903696900023,2,1.8237777777777773,1.149
84,7.666666666666666,2.2852182001336843,5.897779143258429,-4.870395223449681,3,7.916666666666667,4.733861873742382
84,8.555555555555555,3.435472185275626,6.309252106741575,5.331383871548057,3,7.916666666666667,4.733861873742382
