Frame,cid,gid,pred_x,pred_y,gt_x,gt_y,dx,dy,model
102,7,58,8.114065667807711,10.45462403528001,8.750000002247868,11.426558195838133,0.6359343344401562,0.9719341605581224,1
102,8,56,5.372025907339404,15.957210733653621,5.250000000439093,17.065120511569944,-0.12202590690031112,1.1079097779163227,2
102,9,57,8.720508909379166,27.371631396846787,8.750000002819565,27.621130514434423,0.029491093440398686,0.24949911758763577,0
103,7,58,7.927933832106353,12.423317202772278,8.750000000813955,12.739990594861048,0.8220661687076021,0.3166733920887701,1
103,8,56,5.328904118184996,17.12064892598948,5.250000002334727,18.15135383114358,-0.07890411585026857,1.0307049051540993,2
103,9,57,9.250134470022289,28.941582593501572,8.750000001768472,28.989202075179314,-0.5001344682538171,0.047619481677742215,0
104,1,64,-5.472602642564703,195.54774838629453,-5.249999997422655,196.45015087582422,0.22260264514204753,0.9024024895296918,1
104,4,59,4.527732953330866,3.7550935509573207,5.249999999294551,4.958947395831468,0.7222670459636849,1.2038538448741476,2
104,5,56,5.376438377223002,18.514851393030497,5.249999999986023,19.23618208113168,-0.1264383772369797,0.7213306881011832,2
104,6,58,7.93387721143419,13.722368376838496,8.749999997987397,14.051329674917861,0.8161227865532066,0.32896129807936525,1
104,7,57,9.094457075981529,30.32225016618039,8.750000000348642,30.365400640693935,-0.34445707563288686,0.04315047451354559,0
105,1,64,-5.216737640277931,194.528607211822,-5.249999999878135,195.3499039441264,-0.03326235960020352,0.821296732304404,1
105,4,59,4.664110466666528,4.772802772332064,5.249999999250761,5.7648822228470085,0.5858895325842335,0.9920794505149448,2
105,5,56,5.3038010526911314,19.778311920538517,5.24999999786847,20.320651986861385,-0.053801054822661065,0.5423400663228684,2
105,6,58,7.987751280927024,15.033503364081279,8.750000000397653,15.37990308361296,0.7622487194706293,0.34639971953168214,1
105,7,57,9.263034370164561,31.814416929145697,8.750000002608404,31.740253693732058,-0.5130343675561573,-0.07416323541363923,0
106,2,64,-5.075474015203663,193.51549179678372,-5.250000000233037,194.24406771453545,-0.17452598502937366,0.7285759177517264,1
106,4,59,4.7672794296836125,5.938329657951217,5.249999997680691,6.651248265621176,0.4827205679970783,0.7129186076699598,2
