Frame,X,Y,V,SNR,Label,Center_X,Center_Y
19,-1.8299956294424424,195.96236669939643,-14.990143656551359,6.436146639719458,-1,,
20,-1.7926487798619846,191.95934647681693,-15.033342917809431,8.512187910021321,1,-1.8113222046522133,193.9608598793145
20,-1.8113222046522133,193.96086646173023,-15.033342917809431,18.095259555295684,1,-1.8113222046522133,193.9608598793145
20,-1.8299956294424424,195.96236669939643,-15.033342917809431,16.50754521403009,1,-1.8113222046522133,193.9608598793145
20,-5.196020426816442,195.9020148394513,-13.86696286384146,18.558999358219786,2,-5.249041043416608,197.902874475089
20,-5.249041043416608,197.9028806681043,-13.86696286384146,19.078460766614725,2,-5.249041043416608,197.902874475089
20,-5.302061660016776,199.9037279177113,-13.86696286384146,7.4600351397939955,2,-5.249041043416608,197.902874475089
21,-1.7926487798619846,191.95934647681693,-14.990143656551359,12.058178459754508,1,-1.8038528347361216,193.16025715128174
21,-1.8113222046522133,193.96086646173023,-14.990143656551359,13.71956249014791,1,-1.8038528347361216,193.16025715128174
21,-4.83912281173588,193.90895156523112,-13.953361386357605,11.692264692152404,2,-4.9610167493028365,196.3085034733915
21,-4.889010675774394,195.90991710744166,-13.953361386357605,15.058399363624961,2,-4.9610167493028365,196.3085034733915
21,-4.938898539812907,197.91086349622861,-13.953361386357605,6.697581295981372,2,-4.9610167493028365,196.3085034733915
22,-1.1948994547989262,191.96399793906022,-14.990143656551359,7.65529849710221,-1,,
22,-5.089979193616107,191.9002251204077,-13.953361386357605,9.451233993840274,1,-5.024733931089041,194.38470658386498
22,-5.142999810216273,193.9011298566007,-13.953361386357605,16.41661561739425,1,-5.024733931089041,194.38470658386498
22,-4.889010675774394,195.90991710744166,-13.953361386357605,11.819630860042588,1,-5.024733931089041,194.38470658386498
23,-5.089979193616107,191.9002251204077,-13.953361386357605,9.444515800819245,1,-5.119346634390827,193.99783993449557
23,-5.142999810216273,193.9011298566007,-13.953361386357605,16.07153801573823,1,-5.119346634390827,193.99783993449557
