Frame,V,R,A,SNR,X,Y,Label
81,2.811731917134836,9.5,-54.204632456312396,19.54157849278652,4.307999306486871,-5.974206388743917,1
81,3.0860472261235965,9.5,-54.204632456312396,19.277189409529164,4.307999306486871,-5.974206388743917,1
81,3.4289413623595517,10.0,-51.05755873101862,7.3986246853351965,5.028314888437672,-6.222222222222222,1
82,0.7543670997191043,10.5,-53.13010235415599,8.99673667240428,5.170106381884224,-6.893475175845635,1
82,0.9601035814606752,10.0,-54.204632456312396,17.96515584486428,4.679136778045105,-6.488888888888888,1
82,3.8404143258426977,9.5,-54.204632456312396,15.695978867292393,4.307999306486871,-5.974206388743917,2
82,4.251887289325847,10.0,-53.13010235415599,18.081909676166934,4.799999999999999,-6.400000000000001,2
82,4.526202598314608,10.0,-53.13010235415599,8.327932055792429,4.799999999999999,-6.400000000000001,2
82,4.937675561797756,10.0,-51.05755873101862,20.99458288136912,5.028314888437672,-6.222222222222222,2
82,5.074833216292138,10.0,-51.05755873101862,17.841021359336413,5.028314888437672,-6.222222222222222,2
82,5.2805696980337125,11.0,-49.07393669039544,3.5350102380882853,6.0395813770390205,-6.965878034399069,2
82,5.349148525280904,10.0,-50.05549481018511,6.308635287611122,5.13636274246886,-6.133333333333333,2
82,5.554885007022474,10.5,-49.07393669039544,6.453380740334835,5.644761583391573,-6.510504332743098,2
83,0.06857882724719389,6.5,-40.96178855234937,15.915844477455556,1.8878673708384663,-1.6388888888888888,1
83,0.2743153089887649,6.5,-40.96178855234937,15.528461119535635,1.8878673708384663,-1.6388888888888888,1
83,0.4800517907303394,6.5,-41.8103148957786,13.318066682773075,1.8633899812498247,-1.666666666666667,1
83,0.4800517907303394,8.0,-51.05755873101862,1.3802739755250129,3.325917677132393,-4.115613150544919,2
83,0.6172094452247201,6.5,-42.6702338712576,8.512888891118449,1.8381670285073,-1.6944444444444449,1
83,0.7543670997191043,7.0,-41.8103148957786,10.71694160720421,2.6874192494328497,-2.4037008503093262,1
83,0.7543670997191043,8.0,-52.081797343554456,4.251040469668638,3.2518181049459587,-4.1744076241241315,2
83,1.0972612359550595,6.5,-40.96178855234937,15.23858558688086,1.8878673708384663,-1.6388888888888888,1
83,1.3715765449438209,6.5,-40.96178855234937,5.71217613148911,1.8878673708384663,-1.6388888888888888,1
83,1.4401553721910147,8.0,-50.05549481018511,15.745378777176347,3.3973846149975757,-4.0568186769657055,2
83,1.5773130266853954,7.0,-40.96178855234937,8.690829117649312,2.722721042733392,-2.3636391694708374,1
83,1.78304950842697,7.0,-40.96178855234937,11.898128891765175,2.722721042733392,-2.3636391694708374,1
83,1.9887859901685412,10.0,-54.204632456312396,-8.864196276943757,4.679136778045105,-6.488888888888888,3
83,2.0573648174157317,7.0,-37.66988696432964,-2.5759574957935385,2.853955453120293,-2.203392446116883,1
83,2.125943644662925,9.5,-54.204632456312396,-7.973829820575001,4.307999306486871,-5.974206388743917,3
83,2.331680126404496,7.0,-40.1240345935164,4.828195291068704,2.756988874537035,-2.323577488632348,1
83,2.4688377808988804,7.5,-35.29439467666015,-1.6964806218870132,3.6728735344413916,-2.5999999999999996,1
83,2.6745742626404514,7.5,-36.07819997184263,12.820103309042027,3.636963018783667,-2.6499999999999995,1
83,2.811731917134836,7.5,-36.07819997184263,7.954877026959594,3.636963018783667,-2.6499999999999995,1
83,3.0860472261235965,10.5,-52.081797343554456,4.3002821062383285,5.295359603778892,-6.79773246507,4
83,3.2917837078651715,9.5,-54.204632456312396,1.8450728274757229,4.307999306486871,-5.974206388743917,4
83,3.4289413623595517,7.0,-38.47859513329794,1.7375291216143849,2.822572156783049,-2.243454126955371,1
83,3.8404143258426977,9.5,-53.13010235415599,9.616135215857833,4.419275958796869,-5.892367945062495,4
83,4.251887289325847,9.5,-52.081797343554456,2.7056005466417097,4.52633923978089,-5.81052950138107,4
83,4.594781425561802,10.0,-53.13010235415599,21.893510640856967,4.799999999999999,-6.400000000000001,4
83,4.937675561797756,10.0,-53.13010235415599,7.630960425700393,4.799999999999999,-6.400000000000001,4
83,5.417727352528093,10.5,-48.111403084958994,5.038749356717506,5.753332367709459,-6.4147616219674655,4
83,6.103515625000004,10.5,-49.07393669039544,11.094198429059567,5.644761583391573,-6.510504332743098,4
83,6.65214624297753,10.5,-48.111403084958994,0.7543182657503783,5.753332367709459,-6.4147616219674655,4
83,6.9264615519662955,11.0,-45.32539043561643,26.896882294582586,6.482074046986605,-6.55612050296383,4
84,0.2743153089887649,6.5,-42.6702338712576,20.272017356703667,1.8381670285073,-1.6944444444444449,1
84,0.4800517907303394,6.5,-41.8103148957786,9.514129064023106,1.8633899812498247,-1.666666666666667,1
84,0.4800517907303394,8.5,-40.96178855234937,1.0848928773212776,4.546586699633468,-3.9469671119374747,1
84,0.6172094452247201,4.5,-14.806506911897516,13.5366284094924,0.0,-0.0,2
84,0.6172094452247201,10.0,-40.96178855234937,-7.515542335986022,6.041175586683092,-5.2444444444444445,1
84,0.6857882724719104,8.5,-40.96178855234937,6.4670256977670615,4.546586699633468,-3.9469671119374747,1
84,0.7543670997191043,6.5,-41.8103148957786,2.7092486431093707,1.8633899812498247,-1.666666666666667,1
84,0.9601035814606752,5.0,-27.81813928465393,-5.014626533170167,0.0,-0.0,2
84,1.0286824087078656,4.5,-15.466009953420546,-3.394691643543624,0.0,-0.0,2
84,1.0286824087078656,6.5,-41.8103148957786,1.179210571436064,1.8633899812498247,-1.666666666666667,1
84,1.0972612359550595,8.5,-43.54221902815587,13.756092249718304,4.364276982530659,-4.147660354917346,1
84,1.2344188904494402,4.5,-14.806506911897516,3.541916571231709,0.0,-0.0,2
84,1.3029977176966303,6.5,-47.166571933932765,-4.526461430862482,1.6996731711975943,-1.8333333333333337,1
84,1.3029977176966303,8.5,-42.6702338712576,14.966390201355875,4.426892425077649,-4.08076260725739,1
84,1.3715765449438209,4.5,-14.806506911897516,3.5163519297420938,0.0,-0.0,2
84,1.3715765449438209,7.0,-48.111403084958994,-3.116609815140789,2.407370370085465,-2.6841326161787475,1
84,1.508734199438205,8.5,-42.6702338712576,14.573291984282891,4.426892425077649,-4.08076260725739,1
84,1.6458918539325855,5.0,-27.100685348240205,0.2269069069822395,0.0,-0.0,2
84,1.6458918539325855,7.0,-51.05755873101862,-0.3989574864860235,2.2662308949301266,-2.804317658694214,1
84,1.8516283356741603,8.5,-40.1240345935164,5.670021091141052,4.603809480027933,-3.8800693642775173,1
84,1.9202071629213504,6.5,-40.96178855234937,-0.8872660357447791,1.8878673708384663,-1.6388888888888888,1
84,1.9887859901685412,5.0,-28.54036548487555,4.12573555138512,0.0,-0.0,2
84,2.0573648174157317,8.5,-41.8103148957786,11.246037744513908,4.487637339278754,-4.013864859597432,1
84,2.125943644662925,5.0,-27.81813928465393,3.860120262800175,0.0,-0.0,2
84,2.1945224719101155,7.0,-40.96178855234937,1.3849746078995953,2.722721042733392,-2.3636391694708374,1
84,2.2631012991573063,4.5,-14.149004508934642,7.2526361020480214,0.0,-0.0,2
84,2.331680126404496,8.5,-40.96178855234937,10.144841389711193,4.546586699633468,-3.9469671119374747,1
84,2.4002589536516865,7.0,-40.96178855234937,-0.6102671263466203,2.722721042733392,-2.3636391694708374,1
84,2.5374166081460707,4.5,-14.806506911897516,9.51168381639143,0.0,-0.0,2
84,2.6059954353932606,9.0,-40.1240345935164,0.6339783164656376,5.1294357497790255,-4.323064756499593,1
84,2.811731917134836,4.5,-14.806506911897516,-1.4696401987469567,0.0,-0.0,2
84,2.811731917134836,7.0,-40.1240345935164,1.820523304928244,2.756988874537035,-2.323577488632348,1
