track_id,start_frame,end_frame,life_frames,num_observed_frames,num_missing_internal_gaps,main_gid,assigned_gt_switches,num_gt_switch_events,mean_raw_jump,mean_filtered_jump,mean_smoothing_gain,path_length_raw,path_length_filtered,mean_err_raw,mean_err_filtered,median_err_filtered,p90_err_filtered,max_err_filtered,mean_dx_filtered,mean_dy_filtered,mean_inside_ratio,center_mode
10,203,529,327,296,24,226,0,0,0.9053626229112012,0.5529732507350221,0.35238937217617894,267.08197375880434,163.1271089668315,0.7763501834978978,0.5907452939008134,0.5384348842690395,1.0178607940341897,2.495165112698537,0.14814085223797382,0.009452574608307894,,bottom_half_length
58,293,593,301,156,68,231,1,1,1.2027469993176594,0.842823722934047,0.35992327638361254,186.4257848942372,130.63767705477727,1.4074678399397458,1.3553661332473346,1.2174153025430932,2.117608636772183,3.669586263573415,-0.5130709914931965,-1.0143952601173072,,bottom_half_length
14,207,475,269,101,63,234,1,1,1.3381296658561357,1.0657991997746397,0.2723304660814959,133.81296658561357,106.57991997746397,1.494162930232712,1.4153002101959564,1.270345451730165,2.219341176638777,3.003954035303297,-0.6637424616443789,-1.0260994652655642,,bottom_half_length
70,318,549,232,191,32,218,0,0,0.9588632914108447,0.7489860786092017,0.20987721280164315,182.1840253680605,142.30735493574832,1.4977781017327279,1.4565833834822266,1.469317128718878,2.1753667944988146,2.857498740818779,0.055189223694999755,-1.4328692024122331,,bottom_half_length
79,333,563,231,187,34,221,0,0,0.9787081665440734,0.7651604828483441,0.21354768369572943,182.03971897719765,142.319849809792,1.3184217285028914,1.2320801582500163,1.2221901266542905,1.9822667026500778,3.454790399772614,0.08451196640315434,-1.0914799677630134,,bottom_half_length
91,365,586,222,217,5,224,0,0,1.1446016447904919,0.7262492159644074,0.4183524288260845,247.23395527474625,156.869830648312,0.9108234405707404,0.7139872692111243,0.5680888035207396,1.2726909321996704,3.2490666286235554,0.14917253455027502,-0.1108228690511182,,bottom_half_length
74,324,534,211,198,12,228,1,1,0.7011370697491622,0.4520172969370619,0.24911977281210024,138.12400274058496,89.0474074966012,0.8588951958138725,0.8089991058564435,0.7161703836089431,1.3849735105924528,3.0486336443491697,0.2180241100598435,-0.487183255714239,,bottom_half_length
5,201,363,163,89,22,224,0,0,1.1821001033917562,1.0707213869616437,0.11137871643011263,104.02480909847455,94.22348205262465,0.6737504637501494,0.655546534938719,0.4163678163321603,1.131817799314673,4.562239680038462,-0.07058087321835656,-0.022512529128670362,,bottom_half_length
25,221,376,156,128,7,219,0,0,1.2626022135554649,1.0024536941575044,0.2601485193979607,160.35048112154405,127.31161915800305,1.125857687274704,1.0660982711991578,0.8298694403752768,1.2148531417423933,5.760037318447907,0.6662221934976866,-0.3435977895652264,,bottom_half_length
144,549,699,151,72,30,228,0,0,0.8945869882685928,0.6920637655848951,0.20252322268369774,63.51567616707009,49.13652735652755,0.9116595010555343,0.8986606897806639,0.6855549232696152,1.76752412961605,3.0855838164983336,0.37474223113175226,-0.771940098435755,,bottom_half_length
