Frame,V,R,A,SNR,X,Y
81,2.811731917134836,9.5,-54.204632456312396,19.54157849278652,7.705555555555555,0.0
81,3.0860472261235965,9.5,-54.204632456312396,19.277189409529164,7.705555555555555,0.0
81,3.4289413623595517,10.0,-51.05755873101862,7.3986246853351965,7.777777777777778,1.8724777273725255
82,0.7543670997191043,10.5,-53.13010235415599,8.99673667240428,8.400000000000002,1.9209372712298503
82,0.9601035814606752,10.0,-54.204632456312396,17.96515584486428,8.11111111111111,0.0
82,3.8404143258426977,9.5,-54.204632456312396,15.695978867292393,7.705555555555555,0.0
82,4.251887289325847,10.0,-53.13010235415599,18.081909676166934,8.000000000000002,0.0
82,4.526202598314608,10.0,-53.13010235415599,8.327932055792429,8.000000000000002,0.0
82,4.937675561797756,10.0,-51.05755873101862,20.99458288136912,7.777777777777778,1.8724777273725255
82,5.074833216292138,10.0,-51.05755873101862,17.841021359336413,7.777777777777778,1.8724777273725255
82,5.2805696980337125,11.0,-49.07393669039544,3.5350102380882853,8.31111111111111,3.990668126863652
82,5.349148525280904,10.0,-50.05549481018511,6.308635287611122,7.666666666666666,2.2852182001336843
82,5.554885007022474,10.5,-49.07393669039544,6.453380740334835,7.933333333333332,3.3633647173956973
83,0.06857882724719389,6.5,-40.96178855234937,15.915844477455556,4.261111111111111,0.0
83,0.2743153089887649,6.5,-40.96178855234937,15.528461119535635,4.261111111111111,0.0
83,0.4800517907303394,6.5,-41.8103148957786,13.318066682773075,4.333333333333334,0.0
83,0.4800517907303394,8.0,-51.05755873101862,1.3802739755250129,6.222222222222222,0.0
83,0.6172094452247201,6.5,-42.6702338712576,8.512888891118449,4.405555555555557,0.0
83,0.7543670997191043,7.0,-41.8103148957786,10.71694160720421,4.666666666666667,0.0
83,0.7543670997191043,8.0,-52.081797343554456,4.251040469668638,6.311111111111111,0.0
83,1.0972612359550595,6.5,-40.96178855234937,15.23858558688086,4.261111111111111,0.0
83,1.3715765449438209,6.5,-40.96178855234937,5.71217613148911,4.261111111111111,0.0
83,1.4401553721910147,8.0,-50.05549481018511,15.745378777176347,6.133333333333333,0.0
83,1.5773130266853954,7.0,-40.96178855234937,8.690829117649312,4.588888888888889,0.0
83,1.78304950842697,7.0,-40.96178855234937,11.898128891765175,4.588888888888889,0.0
83,1.9887859901685412,10.0,-54.204632456312396,-8.864196276943757,8.11111111111111,0.0
83,2.0573648174157317,7.0,-37.66988696432964,-2.5759574957935385,4.277777777777779,0.0
83,2.125943644662925,9.5,-54.204632456312396,-7.973829820575001,7.705555555555555,0.0
83,2.331680126404496,7.0,-40.1240345935164,4.828195291068704,4.511111111111111,0.0
83,2.4688377808988804,7.5,-35.29439467666015,-1.6964806218870132,4.333333333333333,1.2133516482134195
83,2.6745742626404514,7.5,-36.07819997184263,12.820103309042027,4.416666666666666,0.8620067027323843
83,2.811731917134836,7.5,-36.07819997184263,7.954877026959594,4.416666666666666,0.8620067027323843
83,3.0860472261235965,10.5,-52.081797343554456,4.3002821062383285,8.283333333333333,2.374108019633669
83,3.2917837078651715,9.5,-54.204632456312396,1.8450728274757229,7.705555555555555,0.0
83,3.4289413623595517,7.0,-38.47859513329794,1.7375291216143849,4.355555555555556,0.0
83,3.8404143258426977,9.5,-53.13010235415599,9.616135215857833,7.600000000000001,0.0
83,4.251887289325847,9.5,-52.081797343554456,2.7056005466417097,7.4944444444444445,0.0
83,4.594781425561802,10.0,-53.13010235415599,21.893510640856967,8.000000000000002,0.0
83,4.937675561797756,10.0,-53.13010235415599,7.630960425700393,8.000000000000002,0.0
83,5.417727352528093,10.5,-48.111403084958994,5.038749356717506,7.816666666666666,3.626254572175291
83,6.103515625000004,10.5,-49.07393669039544,11.094198429059567,7.933333333333332,3.3633647173956973
83,6.65214624297753,10.5,-48.111403084958994,0.7543182657503783,7.816666666666666,3.626254572175291
83,6.9264615519662955,11.0,-45.32539043561643,26.896882294582586,7.822222222222221,4.879840110718062
84,0.2743153089887649,6.5,-42.6702338712576,20.272017356703667,4.405555555555557,0.0
84,0.4800517907303394,6.5,-41.8103148957786,9.514129064023106,4.333333333333334,0.0
84,0.4800517907303394,8.5,-40.96178855234937,1.0848928773212776,5.572222222222222,2.280425290636123
84,0.6172094452247201,4.5,-14.806506911897516,13.5366284094924,1.15,0.0
84,0.6172094452247201,10.0,-40.96178855234937,-7.515542335986022,6.555555555555555,4.585268951547412
84,0.6857882724719104,8.5,-40.96178855234937,6.4670256977670615,5.572222222222222,2.280425290636123
84,0.7543670997191043,6.5,-41.8103148957786,2.7092486431093707,4.333333333333334,0.0
84,0.9601035814606752,5.0,-27.81813928465393,-5.014626533170167,2.3333333333333335,0.0
84,1.0286824087078656,4.5,-15.466009953420546,-3.394691643543624,1.1999999999999995,0.0
84,1.0286824087078656,6.5,-41.8103148957786,1.179210571436064,4.333333333333334,0.0
84,1.0972612359550595,8.5,-43.54221902815587,13.756092249718304,5.855555555555555,1.4008815566643997
84,1.2344188904494402,4.5,-14.806506911897516,3.541916571231709,1.15,0.0
84,1.3029977176966303,6.5,-47.166571933932765,-4.526461430862482,4.7666666666666675,0.0
84,1.3029977176966303,8.5,-42.6702338712576,14.966390201355875,5.761111111111112,1.7491708794260434
84,1.3715765449438209,4.5,-14.806506911897516,3.5163519297420938,1.15,0.0
84,1.3715765449438209,7.0,-48.111403084958994,-3.116609815140789,5.211111111111111,0.0
84,1.508734199438205,8.5,-42.6702338712576,14.573291984282891,5.761111111111112,1.7491708794260434
84,1.6458918539325855,5.0,-27.100685348240205,0.2269069069822395,2.2777777777777777,0.0
84,1.6458918539325855,7.0,-51.05755873101862,-0.3989574864860235,5.444444444444445,0.0
84,1.8516283356741603,8.5,-40.1240345935164,5.670021091141052,5.477777777777777,2.498789830554773
84,1.9202071629213504,6.5,-40.96178855234937,-0.8872660357447791,4.261111111111111,0.0
84,1.9887859901685412,5.0,-28.54036548487555,4.12573555138512,2.388888888888889,0.0
84,2.0573648174157317,8.5,-41.8103148957786,11.246037744513908,5.666666666666667,2.0344259359556163
84,2.125943644662925,5.0,-27.81813928465393,3.860120262800175,2.3333333333333335,0.0
84,2.1945224719101155,7.0,-40.96178855234937,1.3849746078995953,4.588888888888889,0.0
84,2.2631012991573063,4.5,-14.149004508934642,7.2526361020480214,1.1,0.0
84,2.331680126404496,8.5,-40.96178855234937,10.144841389711193,5.572222222222222,2.280425290636123
84,2.4002589536516865,7.0,-40.96178855234937,-0.6102671263466203,4.588888888888889,0.0
84,2.5374166081460707,4.5,-14.806506911897516,9.51168381639143,1.15,0.0
84,2.6059954353932606,9.0,-40.1240345935164,0.6339783164656376,5.799999999999999,3.3704599092705445
84,2.811731917134836,4.5,-14.806506911897516,-1.4696401987469567,1.15,0.0
84,2.811731917134836,7.0,-40.1240345935164,1.820523304928244,4.511111111111111,0.0
84,2.8803107443820264,5.0,-27.81813928465393,-1.0471442765683583,2.3333333333333335,0.0
84,3.0174683988764066,7.0,-40.1240345935164,1.7781307818949772,4.511111111111111,0.0
84,3.1546260533707877,5.0,-27.81813928465393,-2.0711036393326707,2.3333333333333335,0.0
84,3.1546260533707877,8.5,-41.8103148957786,24.14348721997005,5.666666666666667,2.0344259359556163
84,3.2232048806179816,7.0,-40.1240345935164,18.969325701431558,4.511111111111111,0.0
84,3.4289413623595517,5.0,-27.81813928465393,-2.0564078542027633,2.3333333333333335,0.0
84,3.5660990168539364,9.0,-36.07819997184263,-7.770986499955593,5.299999999999999,4.112177038990419
84,3.634677844101127,5.0,-27.100685348240205,-4.187828769354071,2.2777777777777777,0.0
84,3.7718354985955074,5.0,-24.97496536765996,-5.213108497848149,2.1111111111111107,0.0
84,3.7718354985955074,7.0,-39.296480239187495,-4.0100198186265965,4.433333333333333,0.0
84,3.8404143258426977,10.5,-53.13010235415599,21.820794355348035,8.400000000000002,1.9209372712298503
84,3.908993153089892,7.0,-39.296480239187495,-3.800198999133844,4.433333333333333,0.0
84,4.183308462078654,10.0,-52.081797343554456,1.6120861722961977,7.888888888888888,1.328695638122385
84,4.251887289325847,5.0,-19.471220634490688,2.0103017323165298,1.6666666666666663,0.0
84,4.251887289325847,7.5,-35.29439467666015,9.451394782237676,4.333333333333333,1.2133516482134195
84,4.594781425561802,7.5,-35.29439467666015,13.076306141581835,4.333333333333333,1.2133516482134195
84,4.594781425561802,10.0,-51.05755873101862,-4.987440240829967,7.777777777777778,1.8724777273725255
84,4.663360252808992,5.0,-12.839588406904149,-9.616390302151812,1.1111111111111112,0.0
84,4.800517907303373,7.5,-35.29439467666015,11.151985769130272,4.333333333333333,1.2133516482134195
84,5.143412043539328,7.5,-36.07819997184263,-7.174679686106594,4.416666666666666,0.8620067027323843
84,5.143412043539328,10.5,-50.05549481018511,-3.76980932675494,8.049999999999999,3.0736785778607376
84,5.211990870786519,6.0,-25.679288619456855,23.765752142523645,2.6,0.0
84,5.486306179775284,5.5,-22.88538047615857,0.166336934379888,2.138888888888889,0.0
84,5.554885007022474,10.0,-51.05755873101862,-7.9728898140992905,7.777777777777778,1.8724777273725255
84,5.692042661516857,10.0,-50.05549481018511,-9.622324191287452,7.666666666666666,2.2852182001336843
84,5.829200316011238,5.5,-18.797368824406547,16.568903696900023,1.7722222222222226,0.0
84,5.897779143258429,10.0,-50.05549481018511,-4.870395223449681,7.666666666666666,2.2852182001336843
84,6.309252106741575,11.0,-51.05755873101862,5.331383871548057,8.555555555555555,3.435472185275626
84,6.3778309339887675,6.0,-21.51018826688749,2.8090851063678657,2.2,0.0
84,6.65214624297753,6.0,-22.19610085682055,14.627793690330204,2.2666666666666666,0.0
84,6.857882724719103,6.0,-12.187474135425033,6.156645601167544,1.2666666666666662,0.0
84,7.132198033707869,6.0,-17.457603123722087,2.97350480198314,1.7999999999999996,0.0
84,7.132198033707869,11.5,-44.4270040008057,7.151628019984992,8.049999999999999,5.607807058021878
