Frame,V,R,A,SNR,X,Y
100,-11.706999800937805,190.06081946222798,2.6946265931076465,8.828478516209692,-8.935285776103504,189.75583195979246
100,-11.706999800937805,192.06145966709352,2.78598989856488,10.735732885521207,-9.335250550300918,191.74059921314966
100,-10.324623440679467,196.0627400768246,1.4288727962437768,9.932505643655032,-4.889010675774394,195.90991710744166
100,-10.324623440679467,198.06338028169014,1.4288727962437768,16.160540441261688,-4.938898539812907,197.91086349622861
100,-10.324623440679467,200.06402048655568,1.4288727962437768,11.132128220856282,-4.988786403851421,199.91179130672037
100,-8.251058900291959,198.06338028169014,0.5347907946316289,6.1269832710841685,-1.8486690542326711,197.96384778877515
100,-8.251058900291959,200.06402048655568,0.5347907946316289,11.52420066848935,-1.8673424790229,199.96531030484013
100,-8.251058900291959,202.06466069142127,0.5347907946316289,7.285392139252781,-1.8860159038131292,201.9667547997684
100,-7.041479585065911,216.06914212548017,0.2673321658219647,6.674622425266491,-1.008137469160624,215.9834665840981
100,-7.041479585065911,218.06978233034573,0.2673321658219647,7.56130726783899,-1.0174720753565556,217.9848497400226
100,6.583567415730339,11.5,-47.166571933932765,6.38322963907879,8.433333333333335,5.012872319228651
100,6.720725070224724,11.5,-49.07393669039544,5.887119716006973,8.688888888888888,4.555569105670906
100,6.9264615519662955,11.0,-47.166571933932765,10.205040289414368,8.066666666666668,4.46417841140885
100,7.132198033707869,11.0,-46.238257307320204,13.064864085865073,7.9444444444444455,4.678226423457483
100,7.33793451544944,11.5,-46.238257307320204,11.600866058400369,8.305555555555557,5.221852823814572
100,7.4750921699438235,11.5,-43.54221902815587,11.285002522587755,7.9222222222222225,5.786915850582967
100,7.612249824438205,16.0,-42.6702338712576,10.936430878107311,10.844444444444447,10.11919091090577
100,7.749407478932589,11.5,-42.6702338712576,16.677320868035913,7.794444444444446,5.957905320032293
100,7.81798630617978,15.5,-40.96178855234937,1.9944923860143968,10.161111111111111,10.049966218234484
100,8.02372278792135,11.5,-42.6702338712576,3.75268767134488,7.794444444444446,5.957905320032293
100,8.366616924157308,12.0,-40.96178855234937,0.4828876080853982,7.866666666666667,6.790843508398317
100,8.50377457865169,15.5,-22.88538047615857,8.760092864364095,6.027777777777778,12.958236572224186
100,8.709511060393261,12.0,-40.1240345935164,23.834155216050906,7.7333333333333325,6.9423018917039006
100,8.915247542134836,14.0,-41.8103148957786,-2.6941950719543746,9.333333333333334,8.537498983243797
100,9.052405196629216,13.0,-39.296480239187495,-3.1227961700036326,8.23333333333333,8.075408486400068
100,9.120984023876408,15.0,-24.97496536765996,6.022647989562012,6.333333333333332,12.202003478482084
100,9.258141678370789,14.5,-22.19610085682055,7.373420874836287,5.477777777777778,12.010160307726288
100,9.669614641853936,14.0,-34.518107841061266,12.398133666607366,7.933333333333334,9.852016150119843
100,9.669614641853936,16.0,-22.19610085682055,23.375190300844103,6.044444444444444,13.54491385568859
100,10.012508778089893,16.0,-18.12620396055673,-3.9477162285192553,4.977777777777778,13.9721769382964
100,10.081087605337082,17.0,-15.466009953420546,-2.317310477174689,4.533333333333331,15.246274590498784
100,12.618504213483147,26.5,-20.827496932012146,18.172485737059066,9.422222222222222,24.030641447848655
100,12.755661867977528,24.5,-19.471220634490688,4.1432377679557,8.166666666666664,22.305953365762143
100,12.755661867977528,28.0,-20.1478862872471,23.08258763281765,9.644444444444444,25.592668703322534
100,12.824240695224724,26.0,-18.12620396055673,12.244829166809984,8.088888888888889,23.97018724464225
100,12.824240695224724,29.0,-18.797368824406547,11.180119246495108,9.344444444444447,26.78957554767696
100,12.961398349719104,28.5,-16.127620213160757,6.618144448687238,7.916666666666667,26.712850632025194
101,-10.540619746969833,196.0627400768246,2.239960557844092,7.90084243694866,-7.663059048368168,195.8210294438616
101,-10.540619746969833,198.06338028169014,2.239960557844092,10.376310533432314,-7.741253528453556,197.82106966250487
101,-7.257475891356277,216.06914212548017,0.4456160443106177,7.8625299456630495,-1.680453718352271,215.9792820020972
101,0.2743153089887649,6.5,-44.4270040008057,24.864600082550112,4.55,0.0
101,0.6172094452247201,6.5,-43.54221902815587,15.16564216622391,4.477777777777778,0.0
101,0.8229459269662946,6.5,-41.8103148957786,2.9741359460758816,4.333333333333334,0.0
101,1.16584006320225,7.0,-36.07819997184263,3.0555880306886385,4.122222222222222,0.0
101,1.5773130266853954,6.5,-41.8103148957786,10.33356677618764,4.333333333333334,0.0
101,1.9887859901685412,7.0,-38.47859513329794,17.10234405550226,4.355555555555556,0.0
101,2.331680126404496,8.0,-35.29439467666015,9.868532231332614,4.622222222222222,2.575861356594151
101,2.5374166081460707,7.5,-34.518107841061266,12.885532321808569,4.25,1.4790199457749016
101,2.7431530898876417,7.5,-35.29439467666015,24.037130998926333,4.333333333333333,1.2133516482134195
101,3.0860472261235965,7.0,-37.66988696432964,-6.543862723195042,4.277777777777779,0.0
101,3.360362535112362,7.0,-36.86989764584403,1.5415385636209462,4.200000000000001,0.0
101,3.6346778441011267,7.5,-36.07819997184263,8.819307931491254,4.416666666666666,0.8620067027323843
101,7.33793451544944,13.0,-39.296480239187495,24.84355608977871,8.23333333333333,8.075408486400068
101,7.543670997191014,12.5,-46.238257307320204,0.8307303156727596,9.027777777777779,6.224887821885766
101,7.81798630617978,14.0,-39.296480239187495,11.859231794655885,8.866666666666665,9.021209576449394
101,7.95514396067416,12.0,-42.6702338712576,2.1938718205823,8.133333333333335,6.469071717711038
101,8.092301615168545,12.0,-41.8103148957786,0.1884867550635793,8.0,6.6332495807108005
101,8.298038096910117,16.5,-37.66988696432964,-2.0739726423449683,10.083333333333336,11.600706396116092
101,8.57235340589888,12.5,-39.296480239187495,23.869688256306453,7.916666666666665,7.587910706438822
101,8.57235340589888,16.5,-35.29439467666015,10.965426375187453,9.533333333333333,12.056763892336763
101,8.778089887640455,12.5,-38.47859513329794,11.175923288374719,7.777777777777778,7.730211694352629
101,8.983826369382024,16.5,-20.827496932012146,-2.1039761652360482,5.866666666666667,14.20676677580871
101,9.052405196629216,12.5,-37.66988696432964,-2.99149822798599,7.638888888888891,7.867488579159796
101,9.326720505617981,15.5,-22.19610085682055,1.0736110109528392,5.855555555555555,13.036965488019154
101,9.463878160112364,13.0,-37.66988696432964,0.2385169577282071,7.944444444444446,8.359772871862953
101,9.463878160112364,14.0,-40.1240345935164,-3.3195830238128083,9.022222222222222,8.865636253131498
101,9.669614641853936,15.5,-18.12620396055673,17.809397063990726,4.822222222222222,13.453481811022238
101,9.738193469101127,17.0,-19.471220634490688,19.57552315990077,5.666666666666665,14.862331206405301
101,9.875351123595513,14.0,-36.07819997184263,-6.3116646398154925,8.244444444444444,9.593181735090246
101,9.875351123595513,16.5,-14.806506911897516,11.327252660144833,4.216666666666667,14.78072130250152
101,10.081087605337082,18.0,-13.493398821551688,-6.909481160990998,4.199999999999999,16.442627527253666
101,10.355402914325843,15.0,-32.230952635502106,25.05101656063139,7.999999999999998,11.180339887498949
101,12.549925386235962,27.0,-20.827496932012146,9.214400920128064,9.6,24.512037858978598
101,12.618504213483147,26.0,-20.827496932012146,8.205110739572492,9.244444444444445,23.548678241327693
101,12.755661867977528,27.5,-19.471220634490688,18.192944912068,9.166666666666664,25.223445883190152
101,12.824240695224724,29.0,-18.797368824406547,3.1459500475367634,9.344444444444447,26.78957554767696
101,12.89281952247192,26.0,-17.457603123722087,5.806586461783723,7.799999999999998,24.065743287918618
101,12.961398349719104,27.0,-16.791447114588692,12.453737333193898,7.799999999999999,25.142792207708354
101,12.961398349719104,30.5,-17.457603123722087,17.079248851908304,9.149999999999999,28.469764663586528
101,13.029977176966298,29.5,-15.466009953420546,11.082765738444671,7.866666666666664,27.791465516513437
102,-10.67021753074405,196.0627400768246,1.5186205237234933,8.351342920264146,-5.196020426816442,195.9020148394513
102,-8.251058900291959,198.06338028169014,0.4456160443106177,7.06401356860723,-1.5404159084895817,197.9664863744323
102,0.0685788272471938,5.0,-10.240348321186223,0.3482855324445872,0.8888888888888886,0.0
102,0.2057364817415745,6.5,-41.8103148957786,17.985712919608048,4.333333333333334,0.0
102,0.2743153089887649,5.0,-27.81813928465393,-11.290531924581046,2.3333333333333335,0.0
102,0.4800517907303394,5.0,-13.493398821551688,-12.2461913509534,1.1666666666666665,0.0
102,0.5486306179775298,7.0,-42.6702338712576,6.4006776001811305,4.744444444444445,0.0
102,0.6172094452247201,6.5,-42.6702338712576,5.97408446124779,4.405555555555557,0.0
102,0.8229459269662946,6.5,-43.54221902815587,26.030475616414066,4.477777777777778,0.0
102,1.16584006320225,6.0,-28.54036548487555,7.284563498228523,2.8666666666666663,0.0
102,1.16584006320225,10.0,-36.86989764584403,-5.877714279555181,6.000000000000001,5.29150262212918
102,1.3715765449438209,7.0,-37.66988696432964,1.7600383253683851,4.277777777777779,0.0
102,1.508734199438205,5.0,-10.240348321186223,-2.0991344607541182,0.8888888888888886,0.0
102,1.508734199438205,7.0,-36.07819997184263,9.046930971556687,4.122222222222222,0.0
102,1.6458918539325855,5.0,-10.887948130120163,2.9253584869106937,0.9444444444444443,0.0
102,1.78304950842697,6.0,-25.679288619456855,1.2210568306689953,2.6,0.0
102,1.8516283356741603,7.5,-51.05755873101862,4.063633394405027,5.833333333333333,0.0
102,1.9202071629213504,5.5,-23.57817847820184,6.556361048212527,2.2000000000000006,0.0
102,2.125943644662925,5.5,-20.827496932012146,9.505511310226641,1.9555555555555557,0.0
102,2.1945224719101155,7.0,-42.6702338712576,8.53033065531834,4.744444444444445,0.0
102,2.2631012991573063,5.5,-11.536959032815485,11.324485550332744,1.0999999999999996,0.0
102,2.331680126404496,7.5,-22.88538047615857,3.52493063322052,2.9166666666666665,3.426814199158682
102,2.4688377808988804,5.5,-19.471220634490688,10.01053620991024,1.833333333333333,0.0
102,2.5374166081460707,7.0,-43.54221902815587,0.281583523855567,4.822222222222222,0.0
102,2.7431530898876417,6.0,-8.305109528050384,18.699839539486288,0.8666666666666665,0.0
102,3.154626053370788,5.5,-12.839588406904149,2.1825597729169908,1.222222222222222,0.0
102,3.154626053370788,7.0,-39.296480239187495,7.107069369356369,4.433333333333333,0.0
102,3.2917837078651715,7.0,-39.296480239187495,7.948787336608347,4.433333333333333,0.0
102,3.6346778441011267,7.0,-36.86989764584403,9.048261741281523,4.200000000000001,0.0
102,3.7718354985955074,7.0,-37.66988696432964,9.906022384337426,4.277777777777779,0.0
102,3.8404143258426977,7.5,-34.518107841061266,11.833720593713805,4.25,1.4790199457749016
102,3.9089931530898925,8.5,-33.74898859588859,20.362368600380517,4.722222222222222,3.735052514215914
102,3.9775719803370824,7.5,-33.74898859588859,22.741244468647555,4.166666666666667,1.699673171197594
102,4.457623771067418,7.5,-35.29439467666015,-5.6190707673776785,4.333333333333333,1.2133516482134195
102,4.663360252808992,7.5,-35.29439467666015,0.6408666249036088,4.333333333333333,1.2133516482134195
102,8.709511060393261,17.5,-35.29439467666015,7.536279012287452,10.11111111111111,12.962076689279593
102,8.915247542134836,13.0,-40.1240345935164,13.54028444267616,8.377777777777776,7.925455160820284
