Frame,gid,model,main_cluster,speed,range,angle,SNR,weight,u,X,Y,selected_for_measurement,V,R,A
200,218,2,7,5.349148525,34.0,,14.92341225,0.4690011481056257,0.0,4.911111111081524,32.90715708861238,1,5.349148525,34.0,-8.305109528
200,218,2,7,5.349148525,35.5,,16.031807500000003,0.5251141552511416,0.4802780671732065,5.522222222020712,34.362116665459084,1,5.349148525,35.5,-8.949018065
200,219,0,12,8.160880442,84.5,,5.0241241610000005,0.628695652173913,0.5,7.511111110791847,83.87391257048488,1,8.160880442,84.5,-5.099688914
200,220,1,10,8.092301615,70.0,,5.927462929,0.628695652173913,0.5,8.55555555540873,69.12164978599914,1,8.092301615,70.0,-7.020370749
200,221,2,6,5.211990871,25.5,,23.62796021,0.4690011481056257,0.0,4.816666666614148,24.04266462401221,1,5.211990871,25.5,-10.88794813
200,223,1,4,-5.529505441,148.04737519999998,,6.202012909,0.4690011481056257,0.0,-5.552609753477473,147.77751462429984,1,-5.529505441,148.04737519999998,2.149418304
200,224,2,5,4.457623771000001,15.0,,24.04809838,0.4690011481056257,0.0,5.1666666673432715,12.21906524855989,1,4.457623771000001,15.0,-20.14788629
200,224,2,5,4.6633602530000005,16.5,,34.9060642,0.4838709677419355,0.4017392174229588,5.683333334077599,13.818455854897913,1,4.6633602530000005,16.5,-20.14788629
200,225,0,1,-8.207859639,116.03713190000002,,10.56391582,0.4690011481056257,0.0,-8.264761874265403,115.5305573895482,1,-8.207859639,116.03713190000002,4.0843586830000005
200,225,0,1,-8.207859639,118.03777209999998,,16.96390614,0.7418181818181818,0.3343737495934405,-8.60119251460602,117.51568035653038,1,-8.207859639,118.03777209999998,4.178740295
200,226,1,9,-2.678354198,186.0595391,,6.205151309,0.628695652173913,0.5,-1.1575588464030868,185.92421076240055,1,-2.678354198,186.0595391,0.356464735
200,227,2,8,8.023722787999999,55.0,,4.513349063,0.4690011481056257,0.0,7.944444444396583,53.97115713480578,1,8.023722787999999,55.0,-8.305109528
200,230,2,2,-8.207859639,130.0416133,,7.465972623,0.4690011481056257,0.0,-8.62443344210987,129.5663549594159,1,-8.207859639,130.0416133,3.802679657
200,232,1,3,-8.207859639,142.0454545,,3.99027867,0.4690011481056257,0.0,-8.041263481934225,141.64479950116657,1,-8.207859639,142.0454545,3.245277395
201,218,2,7,5.349148525,34.5,,10.55372985,0.4690011481056257,0.0,4.983333333303311,33.41281773345655,1,5.349148525,34.5,-8.305109528
201,219,0,11,8.160880442,85.5,,4.334213517,0.628695652173913,0.5,8.549999999603882,84.78294344976928,1,8.160880442,85.5,-5.739170477
