Frame,gid,model,main_cluster,method,n_roi,n_cluster,n_selected,weight_sum,used_measurement,track_exists,fit_points,x_gt,y_gt,x_hat,y_hat,y_error,abs_y_error,ok
100,56,2,4.0,prob_weighted_cv_fit,5,5,5,2.302720843563832,1,0,1,5.249999055368691,12.707170109516712,,,,,0
100,57,0,6.0,prob_weighted_cv_fit,2,7,7,3.8338955823656327,1,0,1,8.749998655608135,22.08622238605557,,,,,0
100,58,1,3.0,prob_weighted_cv_fit,3,7,7,2.9546004861961523,1,0,1,8.74999885077191,5.953899231937163,,,,,0
100,61,1,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-1.749999998214537,200.33718470824334,,,,,0
100,62,2,1.0,prob_weighted_cv_fit,1,3,3,1.4326145045804095,1,0,1,-8.749999999883906,191.86375576096154,,,,,0
100,64,1,2.0,prob_weighted_cv_fit,1,3,3,1.1096303697154775,1,0,1,-5.2499999974788505,198.5636098887193,,,,,0
100,67,1,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-8.75000000024396,206.57294070479517,,,,,0
100,68,2,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-5.2500000006895275,212.68981327191764,,,,,0
100,69,0,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-1.749999999294708,216.61804081542806,,,,,0
100,70,1,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-8.749999999854255,225.42045961928778,,,,,0
100,71,2,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-5.25000000027315,225.72059019484516,,,,,0
101,56,2,6.0,prob_weighted_cv_fit,6,8,8,4.375002381938845,1,1,2,5.249999053958273,13.805268855197053,5.499628167720928,13.89233250642809,0.08706365123103765,0.08706365123103765,1
101,57,0,7.0,prob_weighted_cv_fit,2,7,7,2.9044587370441106,1,1,2,8.749998654888714,23.469034885762003,8.721141079587563,24.6898379144516,1.2208030286895983,1.2208030286895983,1
101,58,1,5.0,prob_weighted_cv_fit,3,8,8,3.557479520454217,1,1,2,8.749998853117168,7.3206747473479545,8.278580644940266,7.240759211336652,-0.07991553601130263,0.07991553601130263,1
101,59,2,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,5.249999054404422,-1.648817442791523,,,,,0
101,61,1,1.0,prob_weighted_cv_fit,1,2,2,0.6336029724552035,1,0,1,-1.7499999988313937,199.50895296728493,,,,,0
101,62,2,,prob_weighted_cv_fit,0,0,0,0.0,0,0,1,-8.750000001934863,190.68634189949697,,,,,0
101,64,1,,prob_weighted_cv_fit,0,0,0,0.0,0,0,1,-5.250000000786245,197.5129354797276,,,,,0
101,67,1,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-8.749999999753758,205.52489839994539,,,,,0
101,68,2,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-5.250000000504333,211.72934879766373,,,,,0
101,69,0,2.0,prob_weighted_cv_fit,1,2,2,0.6336029724552035,1,0,1,-1.7499999987558983,215.8907152959612,,,,,0
101,70,1,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-8.750000001857122,224.27046571788708,,,,,0
101,71,2,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-5.2499999998560805,224.91681822141598,,,,,0
102,55,1,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,1.7499988504145638,-1.6958734136744789,,,,,0
102,56,2,9.0,prob_weighted_cv_fit,5,6,6,2.816504802744071,1,1,3,5.249999055561469,14.90487823919628,5.381665837544373,15.206031286164574,0.3011530469682935,0.3011530469682935,1
102,57,0,,prob_weighted_cv_fit,0,0,0,0.0,0,1,2,8.749998656036247,24.854792328871877,8.583906557796814,26.14754261659317,1.2927502877212937,1.2927502877212937,1
102,58,1,8.0,prob_weighted_cv_fit,3,5,5,2.1510970738587987,1,1,3,8.749998852424957,8.682796327649166,8.07774664993253,9.088144686286142,0.40534835863697616,0.40534835863697616,1
102,59,2,5.0,prob_weighted_cv_fit,6,7,7,1.3550412974438242,1,0,1,5.249999055503807,-0.5632461547794692,,,,,0
102,61,1,3.0,prob_weighted_cv_fit,1,2,2,0.6336029724552035,1,1,2,-1.7500000011305417,198.68608463816162,-1.543959263643598,198.38951515288161,-0.2965694852800027,0.2965694852800027,1
102,62,2,1.0,prob_weighted_cv_fit,1,2,2,0.6336029724552035,1,1,2,-8.750000000401702,189.50748597618377,-9.463664240017456,188.14791006036086,-1.3595759158229157,1.3595759158229157,1
102,64,1,2.0,prob_weighted_cv_fit,1,3,3,1.4326145045804095,1,1,2,-5.249999999472331,196.44646818060315,-5.183251062823043,195.38685847165647,-1.059609708946681,1.059609708946681,1
102,67,1,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-8.749999996860593,204.45356348969503,,,,,0
102,68,2,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-5.249999998950801,210.7484069523357,,,,,0
102,69,0,4.0,prob_weighted_cv_fit,1,3,3,1.4326145045804095,1,1,2,-1.7500000019588198,215.1467120836216,-1.3412642097506051,215.46946110866196,0.3227490250403662,0.3227490250403662,1
102,70,1,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-8.750000002821144,223.10669315070595,,,,,0
102,71,2,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-5.249999998265335,224.09635310079133,,,,,0
103,55,1,4.0,prob_weighted_cv_fit,4,2,2,0.6336029724552035,1,0,1,1.7499988500267243,-0.871791993603177,,,,,0
103,56,2,8.0,prob_weighted_cv_fit,5,6,6,3.0713887777820204,1,1,4,5.249999057457103,16.014649965735124,5.381691766899094,16.31209959981723,0.29744963408210623,0.29744963408210623,1
103,57,0,9.0,prob_weighted_cv_fit,1,3,3,0.9669363057885368,1,1,3,8.749998654985154,26.234106747048504,9.437672374619963,27.7968078409005,1.5627010938519952,1.5627010938519952,1
103,58,1,7.0,prob_weighted_cv_fit,3,7,7,2.3905207483187096,1,1,4,8.749998850991044,10.059139100491304,7.863204571273059,10.882358774804572,0.8232196743132683,0.8232196743132683,1
103,59,2,3.0,prob_weighted_cv_fit,8,12,12,4.624764374114896,1,1,2,5.249999055480008,0.5251480101706201,4.657427608163388,0.3643890704842434,-0.16075893968637667,0.16075893968637667,1
103,61,1,2.0,prob_weighted_cv_fit,1,3,3,1.4326145045804095,1,1,3,-1.7499999993435151,197.86279659353173,-1.7941363691261127,197.60566526425882,-0.2571313292729087,0.2571313292729087,1
103,62,2,10.0,prob_weighted_cv_fit,1,1,1,0.7990115321252059,1,1,3,-8.74999999921265,188.33390198211941,-9.694002743805363,187.37161343151757,-0.9622885506018406,0.9622885506018406,1
103,64,1,1.0,prob_weighted_cv_fit,1,2,2,0.6336029724552035,1,1,3,-5.249999999224651,195.36467348237164,-5.131233132244599,194.36203228022995,-1.0026412021416888,1.0026412021416888,1
103,67,1,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-8.750000002120643,203.36083588836192,,,,,0
103,68,2,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-5.250000000415229,209.74350888193788,,,,,0
103,69,0,,prob_weighted_cv_fit,0,0,0,0.0,0,1,2,-1.750000001854941,214.38558841867706,-1.931806454167635,214.52871372289545,0.14312530421838687,0.14312530421838687,1
103,70,1,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-8.750000001218888,221.92961485865348,,,,,0
103,71,2,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-5.249999999237932,223.2552734526929,,,,,0
103,72,0,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-1.7500000007239893,225.0504596067009,,,,,0
104,55,1,3.0,prob_weighted_cv_fit,6,6,6,2.0945818689675764,1,1,2,1.7499988502176662,-0.03977599936275267,2.0660094947415453,0.0,0.03977599936275267,0.03977599936275267,1
104,56,2,5.0,prob_weighted_cv_fit,3,5,5,1.9540636112696181,1,1,5,5.249999055108399,17.120256046385318,5.420315324049594,17.49817025458863,0.3779142082033111,0.3779142082033111,1
104,57,0,7.0,prob_weighted_cv_fit,2,7,7,2.7437737112160883,1,1,4,8.749998653565324,27.62058135542128,9.051248175914223,28.97327175705884,1.3526904016375596,1.3526904016375596,1
104,58,1,6.0,prob_weighted_cv_fit,3,5,5,2.169028121191864,1,1,5,8.749998848164486,11.420863950177676,7.869715623059138,12.019323544223681,0.5984595940460053,0.5984595940460053,1
104,59,2,4.0,prob_weighted_cv_fit,4,10,10,4.796721195082001,1,1,3,5.249999054416927,1.6295791626316185,4.495639852758501,0.9805658464119809,-0.6490133162196376,0.6490133162196376,1
104,61,1,,prob_weighted_cv_fit,0,0,0,0.0,0,1,3,-1.7500000010324837,197.03090270756542,-1.944242632415616,197.13535533108512,0.10445262351970541,0.10445262351970541,1
104,62,2,8.0,prob_weighted_cv_fit,1,1,1,0.7990115321252059,1,1,4,-8.749999997994793,187.15722041423106,-9.786138145320539,187.0610947799801,-0.0961256342509671,0.0961256342509671,1
104,64,1,1.0,prob_weighted_cv_fit,1,3,3,1.4326145045804095,1,1,4,-5.249999997422655,194.25706081482357,-5.459748700071519,193.37924054270076,-0.8778202721228183,0.8778202721228183,1
104,67,1,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-8.750000000071873,202.24966795000162,,,,,0
104,68,2,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-5.25000000121803,208.721398912389,,,,,0
104,69,0,2.0,prob_weighted_cv_fit,1,3,3,1.1096303697154775,1,1,3,-1.75000000143738,213.60600162466795,-1.2781741031386211,213.34681509459645,-0.25918653007150283,0.25918653007150283,1
104,70,1,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-8.749999999159552,220.74342707597924,,,,,0
104,71,2,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-5.250000000455209,222.39916382696418,,,,,0
104,72,0,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-1.7500000009184704,224.62594480686883,,,,,0
105,55,1,3.0,prob_weighted_cv_fit,7,8,8,3.259383049565609,1,1,3,1.7499988502896429,0.7921179199806705,1.4999602518569333,0.12090471626958976,-0.6712132037110807,0.6712132037110807,1
105,56,2,6.0,prob_weighted_cv_fit,2,3,3,1.2380805843955018,1,1,6,5.249999052990846,18.223222350277624,5.49720392704088,18.505917149985393,0.28269479970776956,0.28269479970776956,1
105,57,0,8.0,prob_weighted_cv_fit,1,5,5,1.8203708888976502,1,1,5,8.749998655825086,29.0048014825287,9.194438270079816,30.40832986603293,1.4035283835042307,1.4035283835042307,1
105,58,1,7.0,prob_weighted_cv_fit,2,4,4,1.4829096050617174,1,1,6,8.749998850574743,12.791301577499418,7.9027914391142895,13.417852571252098,0.6265509937526801,0.6265509937526801,1
105,59,2,5.0,prob_weighted_cv_fit,3,10,10,3.3941928551971987,1,1,4,5.249999054373137,2.723207092086771,4.7999038035901,1.69453040007717,-1.028676692009601,1.028676692009601,1
105,61,1,2.0,prob_weighted_cv_fit,1,3,3,1.4326145045804095,1,1,4,-1.7499999996658882,196.20221308947237,-1.8715870277918274,195.65586777317267,-0.5463453162996927,0.5463453162996927,1
105,62,2,9.0,prob_weighted_cv_fit,1,1,1,0.7990115321252059,1,1,5,-8.749999997790313,185.9767242265302,-9.772677145824282,185.89381570396276,-0.0829085225674362,0.0829085225674362,1
105,64,1,1.0,prob_weighted_cv_fit,1,4,4,1.4829096050617174,1,1,5,-5.249999999878135,193.15662748209488,-5.145846297952018,192.11047165187742,-1.046155830217458,1.046155830217458,1
105,67,1,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-8.750000000838236,201.11944946593448,,,,,0
105,68,2,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-5.250000000153992,207.68227536425178,,,,,0
105,69,0,,prob_weighted_cv_fit,0,0,0,0.0,0,1,3,-1.7499999987331547,212.8122546604048,-1.3901876569994833,212.31331723093288,-0.49893742947190844,0.49893742947190844,1
105,70,1,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-8.750000000209349,219.5429571947322,,,,,0
105,71,2,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-5.249999999513471,221.52002867552744,,,,,0
105,72,0,,prob_weighted_cv_fit,0,0,0,0.0,0,0,0,-1.7499999981222283,224.17921326526152,,,,,0
106,55,1,,prob_weighted_cv_fit,0,0,0,0.0,0,1,3,1.7499988502884183,1.6237219243058365,1.1657458372542564,0.19344754603134362,-1.4302743782744929,1.4302743782744929,1
106,56,2,5.0,prob_weighted_cv_fit,2,2,2,1.5980230642504119,1,1,7,5.249999054565538,19.3217636125071,5.522751576939704,19.591880257033438,0.2701166445263361,0.2701166445263361,1
106,57,0,7.0,prob_weighted_cv_fit,1,4,4,0.804353960597496,1,1,6,8.749998649249465,30.39246245958873,8.86137363069095,32.147675975157796,1.7552135155690642,1.7552135155690642,1
