Frame,gid,model,main_cluster,method,n_roi,n_cluster,n_selected,weight_sum,used_measurement,track_exists,fit_points,x_gt,y_gt,x_hat,y_hat,center_comp_distance,x_error,y_error,abs_x_error,abs_y_error,xy_error,ok
200,218,2,7.0,global_y_prob_weighted_kalman,2,3,2,0.9941153033567673,1,1,0,5.25000000102688,35.61343002815959,5.522222222020712,36.37211666545908,2.0100000000000002,0.2722222209938323,0.7586866372994905,0.2722222209938323,0.7586866372994905,0.806046122265732,1
200,219,0,12.0,global_y_prob_weighted_kalman,1,1,1,0.628695652173913,1,1,0,8.75000000012823,82.15140342790014,7.511111110791847,85.88391257048488,2.0100000000000002,-1.2388888893363825,3.732509142584746,1.2388888893363825,3.732509142584746,3.932743340163435,1
200,220,1,10.0,global_y_prob_weighted_kalman,1,1,1,0.628695652173913,1,1,0,8.750000000177064,71.55159568981024,8.55555555540873,71.13164978599914,2.0100000000000002,-0.1944444447683331,-0.4199459038110973,0.1944444447683331,0.4199459038110973,0.46277770498262416,1
200,221,2,6.0,global_y_prob_weighted_kalman,3,3,1,0.4690011481056257,1,1,0,5.249999997928342,26.46305465658999,4.816666666614148,26.052664624012213,2.0100000000000002,-0.43333333131419316,-0.4103900325777765,0.43333333131419316,0.4103900325777765,0.5968230515546837,1
200,223,1,4.0,global_y_prob_weighted_kalman,1,2,1,0.4690011481056257,1,1,0,-5.24999999792333,151.79233547577616,-5.552609753477473,149.78751462429983,2.0100000000000002,-0.30260975555414316,-2.0048208514763246,0.30260975555414316,2.0048208514763246,2.027530347657167,1
200,224,2,5.0,global_y_prob_weighted_kalman,2,4,2,0.9528721158475613,1,1,0,5.250000000110418,14.933586121635685,5.683333334077599,15.828455854897912,2.0100000000000002,0.4333333339671803,0.8948697332622277,0.4333333339671803,0.8948697332622277,0.994268383202404,1
200,225,0,1.0,global_y_prob_weighted_kalman,1,4,2,1.2108193299238075,1,1,0,-8.750000002366498,120.34477237906131,-8.60119251460602,119.52568035653039,2.0100000000000002,0.1488074877604788,-0.8190920225309242,0.1488074877604788,0.8190920225309242,0.8324994953676459,1
200,226,1,9.0,global_y_prob_weighted_kalman,1,1,1,0.628695652173913,1,1,0,-1.7500000016410817,188.4116287306386,-1.1575588464030868,187.93421076240054,2.0100000000000002,0.5924411552379949,-0.4774179682380577,0.5924411552379949,0.4774179682380577,0.7608642709552638,1
200,227,2,8.0,global_y_prob_weighted_kalman,2,2,1,0.4690011481056257,1,1,0,8.750000000474227,56.38594818299011,7.944444444396583,55.98115713480578,2.0100000000000002,-0.8055555560776435,-0.404791048184336,0.8055555560776435,0.404791048184336,0.9015406516723108,1
200,229,1,,global_y_prob_weighted_kalman,0,0,0,0.0,0,0,0,-5.249999999498613,160.98831175303263,,,0.0,,,,,,0
200,230,2,2.0,global_y_prob_weighted_kalman,1,2,1,0.4690011481056257,1,1,0,-8.749999999903867,130.8571853710197,-8.62443344210987,131.57635495941588,2.0100000000000002,0.12556655779399684,0.71916958839617,0.12556655779399684,0.71916958839617,0.7300492156766896,1
200,231,0,,global_y_prob_weighted_kalman,0,0,0,0.0,0,0,0,-1.7499999997725255,198.91397094466467,,,0.0,,,,,,0
200,232,1,3.0,global_y_prob_weighted_kalman,1,2,1,0.4690011481056257,1,1,0,-8.749999999150537,144.88822173486756,-8.041263481934225,143.65479950116656,2.0100000000000002,0.7087365172163125,-1.233422233700992,0.7087365172163125,1.233422233700992,1.4225462584478061,1
200,233,2,,global_y_prob_weighted_kalman,0,0,0,0.0,0,0,0,-5.249999998584907,172.55002589196087,,,0.0,,,,,,0
200,234,0,,global_y_prob_weighted_kalman,0,0,0,0.0,0,0,0,-1.7499999983856045,206.7308349601954,,,0.0,,,,,,0
201,218,2,7.0,global_y_prob_weighted_kalman,2,2,1,0.4690011481056257,1,1,0,5.249999999865711,36.1607933024778,5.128869264432291,35.82824436233285,2.0100000000000002,-0.1211307354334199,-0.33254894014494596,0.1211307354334199,0.33254894014494596,0.35392294734612506,1
201,219,0,11.0,global_y_prob_weighted_kalman,1,1,1,0.628695652173913,1,1,0,8.750000000208825,82.97324180120548,8.269430730245464,86.69649712284186,2.0100000000000002,-0.480569269963361,3.723255321636387,0.480569269963361,3.723255321636387,3.754141315044866,1
201,220,1,,global_y_prob_weighted_kalman,0,0,0,0.0,0,1,0,8.749999999909564,72.37106895207754,8.55555555540873,71.6835602378014,2.0100000000000002,-0.1944444445008333,-0.6875087142761345,0.1944444445008333,0.6875087142761345,0.7144766435670666,1
201,221,2,6.0,global_y_prob_weighted_kalman,1,2,1,0.4690011481056257,1,1,0,5.249999997822913,27.007667540365695,5.096474439782434,26.531221041132106,2.0100000000000002,-0.15352555804047885,-0.47644649923358884,0.15352555804047885,0.47644649923358884,0.5005710375197336,1
201,223,1,2.0,global_y_prob_weighted_kalman,1,4,2,1.2108193299238075,1,1,0,-5.2500000010398375,151.242500319664,-5.382077055628063,149.64595954710035,2.0100000000000002,-0.13207705458822527,-1.5965407725636567,0.13207705458822527,1.5965407725636567,1.601994627583644,1
201,224,2,5.0,global_y_prob_weighted_kalman,4,6,4,1.9759369642829059,1,1,0,5.250000000153165,15.477775576659818,5.18049037645817,15.69546556681518,2.0100000000000002,-0.06950962369499436,0.21768999015536217,0.06950962369499436,0.21768999015536217,0.22851809468849812,1
201,225,0,1.0,global_y_prob_weighted_kalman,1,5,3,1.67665498589645,1,1,0,-8.749999998281607,119.52076718040914,-8.634321943065823,117.9075914920384,2.0100000000000002,0.11567805521578478,-1.613175688370731,0.11567805521578478,1.613175688370731,1.617317907527425,1
201,226,1,4.0,global_y_prob_weighted_kalman,1,3,2,1.0976968002795386,1,1,0,-1.7499999991020307,188.1397170703036,-1.5804868951289943,187.78309118214622,2.0100000000000002,0.16951310397303643,-0.3566258881573674,0.16951310397303643,0.3566258881573674,0.39486290851712647,1
201,227,2,9.0,global_y_prob_weighted_kalman,1,1,1,0.628695652173913,1,1,0,8.750000000183714,57.21277427482742,7.8876718527708345,59.10946125378344,2.0100000000000002,-0.8623281474128799,1.8966869789560192,0.8623281474128799,1.8966869789560192,2.083514178008357,1
201,229,1,,global_y_prob_weighted_kalman,0,0,0,0.0,0,0,0,-5.249999998942606,160.43657681978615,,,0.0,,,,,,0
201,230,2,,global_y_prob_weighted_kalman,0,0,0,0.0,0,1,0,-8.749999998790768,130.02893828908535,-8.62443344210987,131.02811810057116,2.0100000000000002,0.1255665566808979,0.999179811485817,0.1255665566808979,0.999179811485817,1.007038855177659,1
201,231,0,3.0,global_y_prob_weighted_kalman,1,2,1,0.4690011481056257,1,1,0,-1.7499999987260155,198.6376418726759,-1.8299956309192442,197.93919428076805,2.0100000000000002,-0.0799956321932287,-0.6984475919078648,0.0799956321932287,0.6984475919078648,0.703013755065923,1
201,232,1,,global_y_prob_weighted_kalman,0,0,0,0.0,0,1,0,-8.749999998184249,144.06681057608364,-8.041263481934225,143.10656264232185,2.0100000000000002,0.7087365162500241,-0.9602479337617922,0.7087365162500241,0.9602479337617922,1.1934754055949421,1
201,233,2,,global_y_prob_weighted_kalman,0,0,0,0.0,0,0,0,-5.250000000166839,172.0027007930904,,,0.0,,,,,,0
201,234,0,,global_y_prob_weighted_kalman,0,0,0,0.0,0,0,0,-1.749999999165377,206.45620731664016,,,0.0,,,,,,0
202,218,2,7.0,global_y_prob_weighted_kalman,2,3,2,0.9551122592167368,1,1,0,5.2500000001017275,36.705924989057124,4.9521039486283005,36.42174258235541,2.0100000000000002,-0.297896051473427,-0.2841824067017171,0.297896051473427,0.2841824067017171,0.41170583887314355,1
202,219,0,10.0,global_y_prob_weighted_kalman,1,1,1,0.628695652173913,1,1,0,8.75000000017197,83.79744529552977,8.645098662069305,85.46575986422515,2.0100000000000002,-0.10490133810266578,1.6683145686953793,0.10490133810266578,1.6683145686953793,1.671609341579838,1
202,220,1,9.0,global_y_prob_weighted_kalman,1,1,1,0.628695652173913,1,1,0,8.74999999935404,73.19450950502215,8.69070022024255,72.52471981368117,2.0100000000000002,-0.05929977911149109,-0.6697896913409807,0.05929977911149109,0.6697896913409807,0.672409618037486,1
202,221,2,6.0,global_y_prob_weighted_kalman,2,2,1,0.4690011481056257,1,1,0,5.250000001108056,27.558891296661518,4.928295807044406,27.10370605309338,2.0100000000000002,-0.32170419406365003,-0.4551852435681383,0.32170419406365003,0.4551852435681383,0.5573932134860703,1
202,223,1,3.0,global_y_prob_weighted_kalman,1,3,2,1.0976968002795386,1,1,0,-5.250000002168709,150.68791201363848,-5.249421445298044,149.41420084006674,2.0100000000000002,0.0005785568706651034,-1.2737111735717406,0.0005785568706651034,1.2737111735717406,1.2737113049704605,1
202,224,2,5.0,global_y_prob_weighted_kalman,2,4,1,0.4690011481056257,1,1,0,5.250000000351225,16.03055954053903,5.009690526435211,15.945991793862785,2.0100000000000002,-0.24030947391601387,-0.084567746676246,0.24030947391601387,0.084567746676246,0.25475546516549763,1
202,225,0,1.0,global_y_prob_weighted_kalman,1,4,2,1.2108193299238075,1,1,0,-8.74999999876403,118.69582746037825,-8.555174289054339,117.42588401525506,2.0100000000000002,0.1948257097096917,-1.2699434451231895,0.1948257097096917,1.2699434451231895,1.2848009227017392,1
202,226,1,4.0,global_y_prob_weighted_kalman,1,2,1,0.4690011481056257,1,1,0,-1.7500000003618215,187.87365724429554,-1.6445496344181056,186.65772396512966,2.0100000000000002,0.10545036594371582,-1.2159332791658812,0.10545036594371582,1.2159332791658812,1.2204972425453309,1
202,227,2,8.0,global_y_prob_weighted_kalman,1,1,1,0.628695652173913,1,1,0,8.749999999927752,58.03308677789847,8.318906439237963,58.891476644927096,2.0100000000000002,-0.43109356068978855,0.8583898670286274,0.43109356068978855,0.8583898670286274,0.9605596399420626,1
202,229,1,,global_y_prob_weighted_kalman,0,0,0,0.0,0,0,0,-5.25000000249374,159.88845065965333,,,0.0,,,,,,0
202,230,2,2.0,global_y_prob_weighted_kalman,1,2,1,0.4690011481056257,1,1,0,-8.749999999116818,129.20370864297306,-7.974884561095567,128.36509087839326,2.0100000000000002,0.7751154380212517,-0.8386177645797943,0.7751154380212517,0.8386177645797943,1.1419648406705385,1
202,231,0,,global_y_prob_weighted_kalman,0,0,0,0.0,0,1,0,-1.7499999994524307,198.36500553502088,-1.8299956309192442,197.39095742192333,2.0100000000000002,-0.07999563146681354,-0.9740481130975525,0.07999563146681354,0.9740481130975525,0.9773274925441711,1
