Frame,gid,model,side,n_roi,used_measurement,track_exists,method,fit_points,x_gt,y_gt,x_hat,y_hat,y_error,abs_y_error,ok
100,56,2,bottom,5,1,0,cv_fit,1,5.249999055368691,12.707170109516712,,,,,0
100,57,0,bottom,2,1,0,cv_fit,1,8.749998655608135,22.08622238605557,,,,,0
100,58,1,bottom,3,1,0,cv_fit,1,8.74999885077191,5.953899231937163,,,,,0
100,61,1,top,0,0,0,cv_fit,0,-1.749999998214537,200.33718470824334,,,,,0
100,62,2,top,1,0,0,cv_fit,0,-8.749999999883906,191.86375576096154,,,,,0
100,64,1,top,1,0,0,cv_fit,0,-5.2499999974788505,198.5636098887193,,,,,0
100,67,1,top,0,0,0,cv_fit,0,-8.75000000024396,206.57294070479517,,,,,0
100,68,2,top,0,0,0,cv_fit,0,-5.2500000006895275,212.68981327191764,,,,,0
100,69,0,top,0,0,0,cv_fit,0,-1.749999999294708,216.61804081542806,,,,,0
100,70,1,top,0,0,0,cv_fit,0,-8.749999999854255,225.42045961928778,,,,,0
100,71,2,top,0,0,0,cv_fit,0,-5.25000000027315,225.72059019484516,,,,,0
101,56,2,bottom,6,1,1,cv_fit,2,5.249999053958273,13.805268855197053,5.769444445199984,13.625258133709053,-0.18001072148799935,0.18001072148799935,1
101,57,0,bottom,2,1,1,cv_fit,2,8.749998654888714,23.469034885762003,8.522222222688564,23.54058921103679,0.07155432527478567,0.07155432527478567,1
101,58,1,bottom,3,1,1,cv_fit,2,8.749998853117168,7.3206747473479545,7.944444443666862,7.542267728043782,0.2215929806958279,0.2215929806958279,1
101,59,2,bottom,0,0,0,cv_fit,0,5.249999054404422,-1.648817442791523,,,,,0
101,61,1,top,1,0,0,cv_fit,0,-1.7499999988313937,199.50895296728493,,,,,0
101,62,2,top,0,0,0,cv_fit,0,-8.750000001934863,190.68634189949697,,,,,0
101,64,1,top,0,0,0,cv_fit,0,-5.250000000786245,197.5129354797276,,,,,0
101,67,1,top,0,0,0,cv_fit,0,-8.749999999753758,205.52489839994539,,,,,0
101,68,2,top,0,0,0,cv_fit,0,-5.250000000504333,211.72934879766373,,,,,0
101,69,0,top,1,0,0,cv_fit,0,-1.7499999987558983,215.8907152959612,,,,,0
101,70,1,top,0,0,0,cv_fit,0,-8.750000001857122,224.27046571788708,,,,,0
101,71,2,top,0,0,0,cv_fit,0,-5.2499999998560805,224.91681822141598,,,,,0
102,55,1,bottom,0,0,0,cv_fit,0,1.7499988504145638,-1.6958734136744789,,,,,0
102,56,2,bottom,5,1,1,cv_fit,3,5.249999055561469,14.90487823919628,5.8083333325806095,15.180638073490798,0.2757598342945169,0.2757598342945169,1
102,57,0,bottom,0,0,1,cv_fit,2,8.749998656036247,24.854792328871877,8.516666668914857,24.928257141744112,0.07346481287223483,0.07346481287223483,1
102,58,1,bottom,3,1,1,cv_fit,3,8.749998852424957,8.682796327649166,8.046296296689931,8.955708791941404,0.27291246429223825,0.27291246429223825,1
102,59,2,bottom,6,1,0,cv_fit,1,5.249999055503807,-0.5632461547794692,,,,,0
