Frame,gid,model,side,n_roi,fit_ok,a,b,x_ref,y_gt,y_hat,y_error,abs_y_error
103,17,2,bottom,1,0,,,,,,,
103,18,0,bottom,0,0,,,,,,,
103,19,1,top,1,0,,,,,,,
103,20,2,bottom,1,0,,,,,,,
103,22,1,top,0,0,,,,,,,
104,15,0,top,0,0,,,,,,,
104,16,1,top,0,0,,,,,,,
104,17,2,bottom,0,0,,,,,,,
104,18,0,bottom,0,0,,,,,,,
104,19,1,top,1,0,,,,,,,
104,20,2,bottom,0,0,,,,,,,
104,22,1,top,0,0,,,,,,,
105,15,0,top,0,0,,,,,,,
105,16,1,top,0,0,,,,,,,
105,17,2,bottom,1,0,,,,,,,
105,18,0,bottom,1,0,,,,,,,
105,19,1,top,1,0,,,,,,,
105,20,2,bottom,1,0,,,,,,,
105,22,1,top,0,0,,,,,,,
106,15,0,top,1,0,,,,,,,
106,16,1,top,0,0,,,,,,,
106,17,2,bottom,0,0,,,,,,,
106,18,0,bottom,0,0,,,,,,,
106,19,1,top,1,0,,,,,,,
106,20,2,bottom,0,0,,,,,,,
106,22,1,top,1,0,,,,,,,
107,15,0,top,0,0,,,,,,,
107,16,1,top,1,0,,,,,,,
107,17,2,bottom,0,0,,,,,,,
107,18,0,bottom,0,0,,,,,,,
107,19,1,top,0,0,,,,,,,
107,20,2,bottom,1,0,,,,,,,
107,22,1,top,1,0,,,,,,,
108,15,0,top,0,0,,,,,,,
108,16,1,top,1,0,,,,,,,
108,17,2,bottom,0,0,,,,,,,
108,18,0,bottom,0,0,,,,,,,
108,19,1,top,1,0,,,,,,,
108,20,2,bottom,0,0,,,,,,,
108,22,1,top,0,0,,,,,,,
109,15,0,top,0,0,,,,,,,
109,16,1,top,0,0,,,,,,,
109,17,2,bottom,1,0,,,,,,,
109,18,0,bottom,1,0,,,,,,,
109,19,1,top,1,0,,,,,,,
109,20,2,bottom,0,0,,,,,,,
109,22,1,top,0,0,,,,,,,
110,15,0,top,0,0,,,,,,,
110,16,1,top,0,0,,,,,,,
110,17,2,bottom,1,0,,,,,,,
110,18,0,bottom,1,0,,,,,,,
110,19,1,top,0,0,,,,,,,
110,20,2,bottom,0,0,,,,,,,
110,22,1,top,0,0,,,,,,,
111,15,0,top,1,0,,,,,,,
111,16,1,top,1,0,,,,,,,
111,17,2,bottom,0,0,,,,,,,
111,18,0,bottom,0,0,,,,,,,
111,19,1,top,0,0,,,,,,,
111,20,2,bottom,0,0,,,,,,,
111,22,1,top,1,0,,,,,,,
112,15,0,top,0,0,,,,,,,
112,16,1,top,1,0,,,,,,,
112,17,2,bottom,0,0,,,,,,,
112,18,0,bottom,0,0,,,,,,,
112,19,1,top,0,0,,,,,,,
112,20,2,bottom,0,0,,,,,,,
112,22,1,top,0,0,,,,,,,
113,15,0,top,0,0,,,,,,,
113,16,1,top,1,0,,,,,,,
113,17,2,bottom,0,0,,,,,,,
113,18,0,bottom,1,0,,,,,,,
113,19,1,top,0,0,,,,,,,
113,20,2,bottom,0,0,,,,,,,
113,22,1,top,0,0,,,,,,,
114,15,0,top,1,0,,,,,,,
114,16,1,top,1,0,,,,,,,
114,17,2,bottom,0,0,,,,,,,
114,18,0,bottom,0,0,,,,,,,
114,19,1,top,0,0,,,,,,,
114,20,2,bottom,0,0,,,,,,,
114,22,1,top,0,0,,,,,,,
115,15,0,top,0,0,,,,,,,
115,16,1,top,0,0,,,,,,,
115,17,2,bottom,0,0,,,,,,,
115,18,0,bottom,0,0,,,,,,,
115,19,1,top,0,0,,,,,,,
115,20,2,bottom,0,0,,,,,,,
115,22,1,top,1,0,,,,,,,
116,15,0,top,0,0,,,,,,,
116,16,1,top,1,0,,,,,,,
116,17,2,bottom,0,0,,,,,,,
116,18,0,bottom,0,0,,,,,,,
116,19,1,top,0,0,,,,,,,
116,20,2,bottom,0,0,,,,,,,
116,22,1,top,1,0,,,,,,,
117,15,0,top,0,0,,,,,,,
117,16,1,top,1,0,,,,,,,
117,17,2,bottom,0,0,,,,,,,
117,18,0,bottom,0,0,,,,,,,
117,19,1,top,0,0,,,,,,,
117,20,2,bottom,0,0,,,,,,,
117,22,1,top,0,0,,,,,,,
