Frame,gid,trial_id,model,side,n_roi,roi_hit,used_measurement,track_exists,x_gt,y_gt,x_hat,y_hat,y_error,abs_y_error,ok,speed_v,speed_sign,raw_x,raw_y,raw_yaw_deg
100,56,56,2,bottom,5,1,1,1,5.249999055368691,12.707170109516712,5.688888888363709,12.273743681738946,-0.43342642777776597,0.43342642777776597,1,9.442010782,1,5.250000000246315,14.48217010951646,-3.05e-05
100,57,57,0,bottom,2,1,1,1,8.749998655608135,22.08622238605557,8.527777776462269,22.152921280329423,0.066698894273852,0.066698894273852,1,12.59315711,1,8.750000002391452,24.616222386055213,-3.05e-05
100,58,58,1,bottom,3,1,1,1,8.74999885077191,5.953899231937163,8.055555554968945,6.508304287662721,0.5544050557255584,0.5544050557255584,1,7.999007487999999,1,8.75000000059482,8.113899231936857,-3.05e-05
100,61,61,1,top,0,0,0,0,-1.749999998214537,200.33718470824334,,,,,0,-8.259319111,-1,-1.7499999982145371,202.49718470824334,-180.0
100,62,62,2,top,1,1,1,1,-8.749999999883906,191.86375576096154,-9.335250553357197,191.70669628158728,-0.15705947937425435,0.15705947937425435,1,-11.70758891,-1,-8.749999999883906,193.63875576096154,-180.0
100,64,64,1,top,1,1,1,1,-5.2499999974788505,198.5636098887193,-5.559451907224875,197.86155541275238,-0.7020544759669178,0.7020544759669178,1,-10.29670405,-1,-5.2499999974788505,200.7236098887193,-180.0
100,67,67,1,top,0,0,0,0,-8.75000000024396,206.57294070479517,,,,,0,-10.29180948,-1,-8.75000000024396,208.73294070479517,-180.0
100,68,68,2,top,0,0,0,0,-5.2500000006895275,212.68981327191764,,,,,0,-9.408310951,-1,-5.2500000006895275,214.46481327191765,-180.0
100,69,69,0,top,0,0,0,0,-1.749999999294708,216.61804081542806,,,,,0,-7.016979942000001,-1,-1.7499999992947082,219.14804081542806,-180.0
100,70,70,1,top,0,0,0,0,-8.749999999854255,225.42045961928778,,,,,0,-11.52670538,-1,-8.749999999854255,227.58045961928778,-180.0
100,71,71,2,top,0,0,0,0,-5.25000000027315,225.72059019484516,,,,,0,-8.079797687000001,-1,-5.25000000027315,227.49559019484516,-180.0
101,56,56,2,bottom,6,1,1,1,5.249999053958273,13.805268855197053,5.761280030655769,13.488280317630995,-0.3169885375660577,0.3169885375660577,1,9.574461923,1,5.249999998835897,15.5802688551968,-3.05e-05
101,57,57,0,bottom,2,1,1,1,8.749998654888714,23.469034885762003,8.522785285571034,23.39994719103266,-0.06908769472934395,0.06908769472934395,1,12.69895055,1,8.750000001672031,25.999034885761645,-3.05e-05
101,58,58,1,bottom,3,1,1,1,8.749998853117168,7.3206747473479545,7.955705704947478,7.437474136113271,0.11679938876531626,0.11679938876531626,1,8.828075084,1,8.750000002940078,9.48067474734765,-3.05e-05
101,59,59,2,bottom,0,0,0,0,5.249999054404422,-1.648817442791523,,,,,0,0.158357489,1,5.249999999282046,0.12618255720822558,-3.05e-05
