gid,model,frames,hit_frames,hit_prob_empirical,mean_n_roi,mean_n_cluster,mean_r_t,mean_q_t,mean_p_tail
15,0,20,5,0.25,0.25,3.7,0.06416664973611572,0.31416666666666676,0.23916666158750127
16,1,20,5,0.25,0.25,0.95,0.2124997968752008,0.24416666666666664,0.2346666057292269
17,2,20,10,0.5,0.5,1.8,0.24166654861116924,0.5608333333333333,0.4650832979166841
18,0,20,5,0.25,0.3,2.7,0.11166660086116534,0.3383333333333334,0.27033331359168294
19,1,20,6,0.3,0.3,1.75,0.18333319722233843,0.3366666666666668,0.2906666258333682
20,2,20,7,0.35,0.35,1.7,0.22083315659738298,0.4008333333333335,0.3468332803125481
22,1,12,4,0.3333333333333333,0.3333333333333333,1.5,0.15277770601855287,0.32361111111111107,0.2723610895833436
