Frame,gid,model,gt_x,gt_y,side_closest_to_x_axis,n_roi,hit,cid,n_cluster,r_t,q_t,p_tail,vr_mean,vr_std
87,20,2,8.75,32.54335304485762,bottom,0,0,3.0,3,0.0,0.4,0.27999999999999997,10.995471968632964,0.03232836919487103
88,15,0,-8.750000000000002,120.71261407962686,top,0,0,3.0,3,0.0,0.4,0.27999999999999997,-12.153392167271228,0.020364327051888245
88,16,1,-1.7500000000000002,95.5235642948614,top,0,0,,0,0.0,0.0,0.0,,
88,17,2,1.7500000000000004,52.51807169002413,bottom,1,1,6.0,3,0.33333322222225925,0.6,0.5199999666666778,13.62432701310862,0.03232836919487187
88,18,0,5.25,32.716239621660606,bottom,0,0,5.0,3,0.0,0.6,0.42,11.041191186797755,0.05599437797136336
88,19,1,-5.25,105.02570834283817,top,0,0,2.0,4,0.0,0.2,0.13999999999999999,-13.823763602583387,0.0
88,20,2,8.75,32.54335304485762,bottom,0,0,4.0,3,0.0,0.2,0.13999999999999999,10.92689314138577,0.032328369194875216
88,22,1,-1.75,199.76378227300043,top,0,0,1.0,2,0.0,0.0,0.0,-15.465335530390165,0.0
89,15,0,-8.75,119.50229888577313,top,0,0,3.0,3,0.0,0.4,0.27999999999999997,-12.05259389100239,0.0
89,16,1,-1.75,94.02438881098315,top,0,0,,0,0.0,0.0,0.0,,
89,17,2,1.75,53.887233385262164,bottom,0,0,5.0,2,0.0,0.4,0.27999999999999997,13.578607794943828,0.0
89,18,0,5.249999999999999,33.86669822860274,bottom,0,0,4.0,2,0.0,0.4,0.27999999999999997,11.212638254915735,0.03428941362359428
89,19,1,-5.25,103.63547456143009,top,0,0,2.0,3,0.0,0.2,0.13999999999999999,-13.86696286384146,0.0
89,20,2,8.75,34.85448437628149,bottom,0,0,6.0,1,0.0,0.0,0.0,10.972612359550569,0.0
89,22,1,-1.7500000000000007,198.2266800479055,top,1,1,1.0,2,0.499999750000125,0.5,0.4999999250000375,-15.378937007874017,0.0
90,15,0,-8.749999999999996,118.29156799647647,top,1,1,2.0,5,0.199999960000008,0.4,0.33999998800000236,-12.05259389100239,0.0
90,16,1,-1.7499999999999996,92.52229116444305,top,0,0,,0,0.0,0.0,0.0,,
90,17,2,1.75,55.26359312648219,bottom,1,1,4.0,2,0.499999750000125,0.6,0.5699999250000375,13.647186622191017,0.0
90,18,0,5.250000000000001,35.01462083085855,bottom,0,0,3.0,3,0.0,0.4,0.27999999999999997,11.224068059456933,0.03232836919487187
90,19,1,-5.249999999999999,102.24239169047766,top,1,1,1.0,2,0.499999750000125,0.4,0.4299999250000375,-13.910162125099532,0.0
90,20,2,8.750000000000004,36.00926833584792,bottom,0,0,6.0,1,0.0,0.0,0.0,11.041191186797755,0.0
90,22,1,-1.7499999999999998,196.6797532000829,top,0,0,5.0,1,0.0,0.3333333333333333,0.2333333333333333,-15.465335530390165,0.0
91,15,0,-8.750000000000002,117.07811588478556,top,0,0,1.0,4,0.0,0.4,0.27999999999999997,-12.095793152260462,0.0
91,16,1,-1.7500000000000002,91.01749941778726,top,1,1,5.0,1,0.9999990000010001,0.2,0.4399997000003001,-15.01876316713483,0.0
91,17,2,1.7500000000000007,56.63364767112479,bottom,1,1,4.0,2,0.499999750000125,0.8,0.7099999250000375,13.612897208567421,0.03428941362359428
91,18,0,5.249999999999999,36.16623875232461,bottom,0,0,3.0,5,0.0,0.2,0.13999999999999999,11.233211903089892,0.027431530898875425
91,19,1,-5.25,100.85503002620182,top,0,0,6.0,1,0.0,0.2,0.13999999999999999,-13.823763602583387,0.0
91,20,2,8.749999999999998,37.16189078116269,bottom,1,1,2.0,2,0.499999750000125,0.2,0.28999992500003746,11.041191186797755,0.0
91,22,1,-1.75,195.13260860498366,top,0,0,,0,0.0,0.25,0.175,,
92,15,0,-8.75,115.86165205167478,top,0,0,1.0,3,0.0,0.2,0.13999999999999999,-12.138992413518537,0.0
92,16,1,-1.7499999999999998,89.52132742802512,top,0,0,,0,0.0,0.2,0.13999999999999999,,
92,17,2,1.7500000000000002,57.99820218275609,bottom,0,0,7.0,1,0.0,0.6,0.42,13.578607794943828,0.0
92,18,0,5.249999999999999,37.314992952125145,bottom,0,0,4.0,2,0.0,0.0,0.0,11.246927668539328,0.0
92,19,1,-5.250000000000001,99.46446617576235,top,0,0,5.0,1,0.0,0.2,0.13999999999999999,-13.86696286384146,0.0
92,20,2,8.750000000000002,38.31333667118875,bottom,0,0,3.0,2,0.0,0.2,0.13999999999999999,11.07548060042135,0.034289413623596054
92,22,1,-1.7500000000000002,193.5927547890414,top,0,0,,0,0.0,0.2,0.13999999999999999,,
93,15,0,-8.75,114.64164170417556,top,0,0,2.0,3,0.0,0.2,0.13999999999999999,-12.138992413518537,0.0
93,16,1,-1.75,88.01509676879789,top,0,0,,0,0.0,0.2,0.13999999999999999,,
93,17,2,1.7500000000000002,59.363794845796704,bottom,0,0,3.0,2,0.0,0.4,0.27999999999999997,13.578607794943828,0.0
93,18,0,5.25,38.46178762822959,bottom,0,0,6.0,1,0.0,0.0,0.0,11.246927668539328,0.0
93,19,1,-5.250000000000002,98.06929607818411,top,0,0,,0,0.0,0.2,0.13999999999999999,,
93,20,2,8.75,39.47240023711793,bottom,0,0,5.0,1,0.0,0.2,0.13999999999999999,11.17834884129214,0.0
93,22,1,-1.7499999999999996,192.05151556205203,top,1,1,1.0,2,0.499999750000125,0.4,0.4299999250000375,-15.422136269132093,0.0
94,15,0,-8.75,113.41839729457814,top,0,0,2.0,3,0.0,0.2,0.13999999999999999,-12.18219167477661,0.0
94,16,1,-1.75,86.51257935485266,top,1,1,6.0,1,0.9999990000010001,0.4,0.5799997000003001,-15.01876316713483,0.0
94,17,2,1.7500000000000002,60.734576122908656,bottom,1,1,5.0,2,0.499999750000125,0.6,0.5699999250000375,13.647186622191017,0.0
94,18,0,5.25,39.606376674403904,bottom,0,0,4.0,2,0.0,0.0,0.0,11.246927668539328,0.0
94,19,1,-5.25,96.67112164963028,top,0,0,,0,0.0,0.2,0.13999999999999999,,
94,20,2,8.75,39.47240023711793,bottom,0,0,3.0,2,0.0,0.2,0.13999999999999999,11.109770014044948,0.0
94,22,1,-1.7499999999999996,192.05151556205203,top,1,1,1.0,2,0.499999750000125,0.4,0.4299999250000375,-15.422136269132093,0.0
95,15,0,-8.749999999999998,112.19689523061955,top,1,1,2.0,4,0.24999993750001562,0.2,0.2149999812500047,-12.18219167477661,0.0
95,16,1,-1.7500000000000002,85.01856975936893,top,0,0,,0,0.0,0.4,0.27999999999999997,,
95,17,2,1.75,62.10173326873857,bottom,0,0,,0,0.0,0.4,0.27999999999999997,,
95,18,0,5.25,40.7458109466189,bottom,0,0,3.0,1,0.0,0.0,0.0,11.17834884129214,0.0
95,19,1,-5.25,95.27465891611222,top,0,0,,0,0.0,0.0,0.0,,
95,20,2,8.750000000000002,41.78783693326989,bottom,0,0,5.0,1,0.0,0.2,0.13999999999999999,11.246927668539328,0.0
95,22,1,-1.7500000000000002,188.9654450895504,top,0,0,1.0,2,0.0,0.4,0.27999999999999997,-15.465335530390165,0.0
96,15,0,-8.75,110.9816865585293,top,0,0,2.0,4,0.0,0.2,0.13999999999999999,-12.095793152260462,0.0
96,16,1,-1.7500000000000002,83.51951898207231,top,1,1,5.0,1,0.9999990000010001,0.4,0.5799997000003001,-14.950184339887644,0.0
96,17,2,1.75,63.47355767731793,bottom,0,0,4.0,2,0.0,0.2,0.13999999999999999,13.647186622191017,0.0
96,18,0,5.25,41.88634525635217,bottom,0,0,3.0,2,0.0,0.0,0.0,11.212638254915735,0.03428941362359428
96,19,1,-5.250000000000001,93.87870326408431,top,1,1,6.0,1,0.9999990000010001,0.2,0.4399997000003001,-13.921501931179776,0.0
96,20,2,8.75,42.94361202278693,bottom,1,1,7.0,1,0.9999990000010001,0.2,0.4399997000003001,11.17834884129214,0.0
96,22,1,-1.750000000000001,187.41849224159796,top,0,0,1.0,2,0.0,0.4,0.27999999999999997,-15.465335530390165,0.0
97,15,0,-8.75,109.76909550769618,top,0,0,1.0,3,0.0,0.2,0.13999999999999999,-12.095793152260462,0.0
97,16,1,-1.7499999999999998,82.01618737041355,top,1,1,4.0,1,0.9999990000010001,0.6,0.7199997000003,-15.01876316713483,0.0
97,17,2,1.7500000000000007,64.83787474386416,bottom,0,0,7.0,1,0.0,0.2,0.13999999999999999,13.578607794943828,0.0
97,18,0,5.249999999999998,43.028963174418585,bottom,0,0,2.0,3,0.0,0.0,0.0,11.224068059456933,0.03232836919487187
97,19,1,-5.25,92.48225701090612,top,1,1,5.0,1,0.9999990000010001,0.4,0.5799997000003001,-13.921501931179776,0.0
97,20,2,8.75,44.099077395488834,bottom,0,0,6.0,1,0.0,0.2,0.13999999999999999,11.246927668539328,0.0
97,22,1,-1.7499999999999998,185.8780666596981,top,0,0,3.0,1,0.0,0.4,0.27999999999999997,-15.378937007874017,0.0
98,15,0,-8.75,108.55348237933012,top,0,0,2.0,4,0.0,0.2,0.13999999999999999,-12.095793152260462,0.0
98,16,1,-1.75,80.51067925142827,top,0,0,,0,0.0,0.6,0.42,,
98,17,2,1.75,66.20175180407492,bottom,1,1,3.0,2,0.499999750000125,0.4,0.4299999250000375,13.578607794943828,0.0
98,18,0,5.249999999999998,44.17923852592309,bottom,0,0,4.0,1,0.0,0.0,0.0,11.246927668539328,0.0
98,19,1,-5.250000000000003,91.09095648387198,top,0,0,,0,0.0,0.4,0.27999999999999997,,
98,20,2,8.75,45.25455592915404,bottom,1,1,5.0,1,0.9999990000010001,0.4,0.5799997000003001,11.246927668539328,0.0
98,22,1,-1.75,184.33946768086057,top,1,1,1.0,3,0.33333322222225925,0.4,0.3799999666666778,-15.378937007874017,0.0
99,15,0,-8.750000000000002,107.3411978072452,top,0,0,1.0,4,0.0,0.2,0.13999999999999999,-12.05259389100239,0.0
99,16,1,-1.75,79.00813914728451,top,0,0,,0,0.0,0.4,0.27999999999999997,,
99,17,2,1.75,67.57711307004129,bottom,0,0,6.0,1,0.0,0.2,0.13999999999999999,13.715765449438207,0.0
99,18,0,5.25,45.321845809504566,bottom,0,0,3.0,1,0.0,0.0,0.0,11.246927668539328,0.0
99,19,1,-5.25,89.70418972330269,top,0,0,,0,0.0,0.4,0.27999999999999997,,
99,20,2,8.749999999999998,46.40837902025504,bottom,0,0,4.0,1,0.0,0.4,0.27999999999999997,11.246927668539328,0.0
99,22,1,-1.7500000000000004,182.793003985779,top,0,0,2.0,1,0.0,0.2,0.13999999999999999,-15.465335530390165,0.0
