Frame,gid,model,side,n_roi,used_measurement,track_exists,x_gt,y_gt,x_meas,y_meas,meas_error_y,meas_abs_error_y,meas_ok,x_hat,y_hat,kf_error_y,kf_abs_error_y,kf_ok,y_error,abs_y_error,ok
100,56,2,bottom,5,1,1,5.249999055368691,12.707170109516712,5.688888888363709,12.273743681738946,-0.43342642777776597,0.43342642777776597,1,5.688888888363709,12.273743681738946,-0.43342642777776597,0.43342642777776597,1,-0.43342642777776597,0.43342642777776597,1
100,57,0,bottom,2,1,1,8.749998655608135,22.08622238605557,8.527777776462269,22.152921280329423,0.066698894273852,0.066698894273852,1,8.527777776462269,22.152921280329423,0.066698894273852,0.066698894273852,1,0.066698894273852,0.066698894273852,1
100,58,1,bottom,3,1,1,8.74999885077191,5.953899231937163,8.055555554968945,6.508304287662721,0.5544050557255584,0.5544050557255584,1,8.055555554968945,6.508304287662721,0.5544050557255584,0.5544050557255584,1,0.5544050557255584,0.5544050557255584,1
100,61,1,top,0,0,0,-1.749999998214537,200.33718470824334,,,,,0,,,,,0,,,0
100,62,2,top,1,0,0,-8.749999999883906,191.86375576096154,,,,,0,,,,,0,,,0
100,64,1,top,1,0,0,-5.2499999974788505,198.5636098887193,,,,,0,,,,,0,,,0
100,67,1,top,0,0,0,-8.75000000024396,206.57294070479517,,,,,0,,,,,0,,,0
100,68,2,top,0,0,0,-5.2500000006895275,212.68981327191764,,,,,0,,,,,0,,,0
100,69,0,top,0,0,0,-1.749999999294708,216.61804081542806,,,,,0,,,,,0,,,0
100,70,1,top,0,0,0,-8.749999999854255,225.42045961928778,,,,,0,,,,,0,,,0
100,71,2,top,0,0,0,-5.25000000027315,225.72059019484516,,,,,0,,,,,0,,,0
101,56,2,bottom,6,1,1,5.249999053958273,13.805268855197053,5.769444445199986,13.625258133709046,-0.18001072148800645,0.18001072148800645,1,5.742596172690895,13.17481337568675,-0.630455479510303,0.630455479510303,1,-0.630455479510303,0.630455479510303,1
101,57,0,bottom,2,1,1,8.749998654888714,23.469034885762003,8.522222222688564,23.540589211036785,0.07155432527478212,0.07155432527478212,1,8.524073827065882,23.078094900042462,-0.390939985719541,0.390939985719541,1,-0.390939985719541,0.390939985719541,1
101,58,1,bottom,3,1,1,8.749998853117168,7.3206747473479545,7.944444443666861,7.542267728043784,0.22159298069582967,0.22159298069582967,1,7.981476543154291,7.197659195721073,-0.1230155516268816,0.1230155516268816,1,-0.1230155516268816,0.1230155516268816,1
101,59,2,bottom,0,0,0,5.249999054404422,-1.648817442791523,,,,,0,,,,,0,,,0
101,61,1,top,1,0,0,-1.7499999988313937,199.50895296728493,,,,,0,,,,,0,,,0
101,62,2,top,0,0,0,-8.750000001934863,190.68634189949697,,,,,0,,,,,0,,,0
101,64,1,top,0,0,0,-5.250000000786245,197.5129354797276,,,,,0,,,,,0,,,0
101,67,1,top,0,0,0,-8.749999999753758,205.52489839994539,,,,,0,,,,,0,,,0
101,68,2,top,0,0,0,-5.250000000504333,211.72934879766373,,,,,0,,,,,0,,,0
101,69,0,top,1,0,0,-1.7499999987558983,215.8907152959612,,,,,0,,,,,0,,,0
101,70,1,top,0,0,0,-8.750000001857122,224.27046571788708,,,,,0,,,,,0,,,0
101,71,2,top,0,0,0,-5.2499999998560805,224.91681822141598,,,,,0,,,,,0,,,0
102,55,1,bottom,0,0,0,1.7499988504145638,-1.6958734136744789,,,,,0,,,,,0,,,0
102,56,2,bottom,5,1,1,5.249999055561469,14.90487823919628,5.799999998689478,15.22141117105304,0.31653293185675935,0.31653293185675935,1,5.779540427624303,14.403098824111037,-0.5017794150852435,0.5017794150852435,1,-0.5017794150852435,0.5017794150852435,1
102,57,0,bottom,0,0,1,8.749998656036247,24.854792328871877,,,,,0,8.523333185314955,23.26309262444019,-1.5916997044316865,1.5916997044316865,1,-1.5916997044316865,1.5916997044316865,1
102,58,1,bottom,3,1,1,8.749998852424957,8.682796327649166,8.088888889554969,9.031604316644646,0.34880798899548004,0.34880798899548004,1,8.035300530691318,8.287966202223885,-0.3948301254252815,0.3948301254252815,1,-0.3948301254252815,0.3948301254252815,1
102,59,2,bottom,6,1,1,5.249999055503807,-0.5632461547794692,4.500000000435214,0.0,0.5632461547794692,0.5632461547794692,1,4.500000000435214,0.0,0.5632461547794692,0.5632461547794692,1,0.5632461547794692,0.5632461547794692,1
102,61,1,top,1,0,0,-1.7500000011305417,198.68608463816162,,,,,0,,,,,0,,,0
102,62,2,top,1,0,0,-8.750000000401702,189.50748597618377,,,,,0,,,,,0,,,0
