Frame,gid,model,main_cluster,speed,range,angle,SNR,weight,u,X,Y,selected_for_measurement,V,R,A
100,56,2,5,9.806772296,17.5,,15.86236466,0.47760569275847636,0.0,4.277777778093302,15.458027599964074,1,9.806772296,17.5,-14.14900451
100,57,0,6,12.3441889,26.0,,20.87225006,0.6631799163179917,0.3390187521699984,9.533333334647375,23.15416929044316,1,12.3441889,26.0,-21.51018827
100,57,0,6,12.48134656,25.0,,10.373277400000001,0.7868852459016393,0.08333232692978339,8.888888888068296,22.293219918521775,1,12.48134656,25.0,-20.82749693
100,57,0,6,12.54992539,26.5,,19.32961815,0.6064782908339077,0.5185278545918637,9.422222221352394,23.758613772934087,1,12.54992539,26.5,-20.82749693
100,57,0,6,12.68708304,24.5,,12.287121,0.47760569275847636,0.0,8.166666664856242,22.012622642137075,1,12.68708304,24.5,-19.47122063
100,57,0,6,12.75566187,26.0,,21.62170637,0.6064782908339077,0.5003679551043602,8.08888888864879,23.69746561443004,1,12.75566187,26.0,-18.12620396
100,58,1,7,8.503774579,14.5,,7.19697662,0.6064782908339077,0.5,9.505555555106575,8.419882041262962,1,8.503774579,14.5,-40.96178855
100,62,2,1,-11.7069998,190.0608195,,10.50049049,0.47760569275847636,0.0,-8.935285777522582,189.72157435854675,1,-11.7069998,190.0608195,2.694626593
100,62,2,1,-11.7069998,192.06145969999997,,12.82476921,0.6064782908339077,0.5001073803283997,-9.335250553357197,191.70669628158728,1,-11.7069998,192.06145969999997,2.7859898989999996
100,64,1,2,-10.32462344,196.06274009999998,,7.007141184,0.47760569275847636,0.0,-5.196020428376489,195.86883219958207,1,-10.32462344,196.06274009999998,1.5186205240000001
100,64,1,2,-10.32462344,198.0633803,,13.89852974,0.44966442953020136,0.498952464590514,-5.559451907224875,197.86155541275238,1,-10.32462344,198.0633803,1.60844964
101,56,2,6,8.70951106,17.0,,7.391635882,0.6631799163179917,0.34673818667997425,6.044444443886441,14.264104996976513,1,8.70951106,17.0,-20.82749693
101,56,2,6,9.120984024,16.0,,16.32134597,0.47760569275847636,0.0029534198470397275,6.222222223210512,12.972430404707717,1,9.120984024,16.0,-22.88538048
101,56,2,6,9.395299332999999,15.5,,29.02245244,0.47760569275847636,0.0,4.822222222079087,12.96133376010689,1,9.395299332999999,15.5,-18.12620396
101,56,2,6,9.46387816,16.5,,23.98324628,0.7364341085271318,0.22812674435866642,5.683333334077599,13.818455854897913,1,9.46387816,16.5,-20.14788629
101,56,2,6,9.532456987,17.0,,24.92913978,0.44680851063829785,0.3676512585906985,5.855555556322374,14.342679984118105,1,9.532456987,17.0,-20.14788629
101,56,2,6,9.601035815,16.0,,27.19062911,0.8431372549019608,0.12528592991652954,5.155555554390648,13.432060412520178,1,9.601035815,16.0,-18.79736882
101,56,2,6,9.875351124,17.0,,25.34812139,0.44966442953020136,0.4930438463681387,4.533333332355187,14.813807373452558,1,9.875351124,17.0,-15.46600995
101,57,0,7,12.54992539,26.0,,23.34875192,0.47760569275847636,0.0,8.955555556728337,23.38371280764353,1,12.54992539,26.0,-20.14788629
101,57,0,7,12.68708304,28.0,,24.63135769,0.6064782908339077,0.5455402722554412,9.644444445707439,25.33741682440542,1,12.68708304,28.0,-20.14788629
101,57,0,7,12.75566187,26.0,,17.60413457,0.7868852459016393,0.0876104006373053,8.08888888864879,23.69746561443004,1,12.75566187,26.0,-18.12620396
101,58,1,5,7.269355687999999,13.0,,11.95078891,0.47760569275847636,0.0,9.099999999869448,6.098360435590541,1,7.269355687999999,13.0,-44.427004
101,58,1,5,7.47509217,13.0,,16.09649667,0.47760569275847636,0.04561197912165955,8.955555555858854,6.308567562127365,1,7.47509217,13.0,-43.54221903
101,58,1,5,7.817986306,12.5,,16.55258287,0.7868852459016393,0.0889520290288226,8.055555554968945,6.508304287662721,1,7.817986306,12.5,-40.12403459
101,58,1,5,8.366616924,13.0,,20.20522271,0.6631799163179917,0.3133074999027305,7.944444443666861,7.542267728043784,1,8.366616924,13.0,-37.66988696
101,58,1,5,8.503774579,13.0,,18.980299,0.6631799163179917,0.3457004719902014,7.80000000075437,7.691553808446757,1,8.503774579,13.0,-36.86989765
101,59,2,3,0.205736482,7.5,,32.345737899999996,0.6064782908339077,0.5,4.666666666328715,0.0,1,0.205736482,7.5,-38.47859513
101,59,2,3,0.8915247540000001,8.0,,20.56307577,0.6064782908339077,0.5,4.266666667197915,0.0,1,0.8915247540000001,8.0,-32.23095264
101,59,2,3,1.645891854,7.5,,26.56341791,0.6064782908339077,0.5,4.249999999885538,0.0,1,1.645891854,7.5,-34.51810784
101,59,2,3,1.98878599,7.5,,31.4731859,0.6064782908339077,0.5,4.1666666671141535,0.0,1,1.98878599,7.5,-33.7489886
101,59,2,3,2.194522472,8.0,,28.90372314,0.6064782908339077,0.5,4.0888888886335195,0.0,1,2.194522472,8.0,-30.73786867
101,59,2,3,3.223204881,8.0,,6.383307829,0.6064782908339077,0.5,4.355555555265229,0.0,1,3.223204881,8.0,-32.98670708
101,59,2,3,3.49752019,8.5,,6.441000616,0.6064782908339077,0.5,5.1000000004932415,0.0,1,3.49752019,8.5,-36.86989765
101,61,1,1,-8.294258162,198.0633803,,13.36378378,0.47760569275847636,0.0,-1.5404159075582557,197.93364982916415,1,-8.294258162,198.0633803,0.445616044
101,69,0,2,-7.257475891,216.06914210000002,,7.422805184,0.47760569275847636,0.0,-0.6720635828880362,215.9546769541483,1,-7.257475891,216.06914210000002,0.178213643
102,55,1,6,0.480051791,5.5,,14.29624224,0.6064782908339077,0.5,1.0999999997351932,0.0,1,0.480051791,5.5,-11.53695903
102,55,1,6,1.3029977179999999,6.0,,19.63448021,0.6064782908339077,0.5,0.9333333332992753,0.0,1,1.3029977179999999,6.0,-8.949018065
102,55,1,6,2.400258954,7.0,,13.82043804,0.6064782908339077,0.5,0.777777777724014,0.0,1,2.400258954,7.0,-6.379370207999999
102,56,2,9,8.846668715,18.0,,13.91487539,0.44680851063829785,0.3804033556757468,5.799999998689478,15.53576518924002,1,8.846668715,18.0,-18.79736882
102,56,2,9,9.395299332999999,17.0,,25.26568622,0.47760569275847636,0.012410489705709467,6.044444443886441,14.264104996976513,1,9.395299332999999,17.0,-20.82749693
102,56,2,9,9.601035815,16.5,,19.12220926,0.47760569275847636,0.0,4.583333332458922,14.221218497849295,1,9.601035815,16.5,-16.12762021
102,56,2,9,9.669614642,18.0,,32.54467985,0.44680851063829785,0.3804033556757468,5.799999998689478,15.53576518924002,1,9.669614642,18.0,-18.79736882
102,56,2,9,9.875351124,17.5,,28.16242563,0.609375,0.2894356295602362,5.055555554213776,15.22141117105304,1,9.875351124,17.5,-16.79144711
102,57,0,10,12.61850421,28.5,,17.94811554,0.47760569275847636,0.0,9.499999997893998,25.94224354291691,1,12.61850421,28.5,-19.47122063
102,57,0,10,12.824240699999999,29.0,,21.14114759,0.7364341085271318,0.22342229151792306,9.02222222195442,26.65707234820943,1,12.824240699999999,29.0,-18.12620396
102,57,0,10,12.96139835,28.0,,17.30568891,0.47760569275847636,0.009068155362721732,7.777777776293929,25.971256666988378,1,12.96139835,28.0,-16.12762021
102,58,1,8,8.503774579,13.5,,18.129908800000003,0.47760569275847636,0.0,8.249999999192509,8.073877631802677,1,8.503774579,13.5,-37.66988696
