甯у彿,杞﹁締ID,閫熷害(m/s),璺濈(m),瑙掑害(deg),Yaw(deg)
177,60,8.178686895,45.32190062,-2.212893656,-3.05E-05
177,61,-8.216488822,139.0574145,0.721070943,-180
177,62,-11.69529383,103.6386887,4.84312945,-180
177,63,13.65365893,97.74595196,-5.135865576,-3.05E-05
177,64,-11.06007324,116.1362527,2.590968627,-180
177,65,10.90531696,67.23790244,-4.478267773,-3.05E-05
177,66,8.115068545,31.43596679,-3.191232371,-3.05E-05
177,67,-11.61398611,119.5279588,4.198071571,-180
177,68,-10.99320219,131.6926078,2.284733975,-180
177,69,-8.240847955,156.0858631,0.642401003,-180
177,70,-11.73087351,135.9022076,3.691515385,-180
177,71,-10.86186444,148.5867169,2.024847655,-180
177,72,-8.314624585,170.4845911,0.58814333,-180
178,55,8.158787301,63.65997129,-1.575248071,-3.05E-05
