甯у彿,杞﹁締ID,閫熷害(m/s),璺濈(m),瑙掑害(deg),Yaw(deg)
205,62,-11.64228494,71.00825392,7.078269734,-180
205,63,13.66808049,136.1729785,-3.684164909,-3.05E-05
205,64,-10.96621179,85.35533884,3.526350378,-180
205,65,10.93152757,97.92671202,-3.073187257,-3.05E-05
205,66,8.191619331,54.19028505,-1.850609386,-3.05E-05
205,67,-11.64600509,86.82106664,5.784202791,-180
205,68,-10.96640755,100.9698539,2.980479177,-180
205,69,-8.197596129,133.0050341,0.753885055,-180
205,70,-11.7217707,102.9995824,4.873253232,-180
205,71,-10.9815936,118.0133424,2.549729903,-180
205,72,-8.210215182,147.3753696,0.680371292,-180
206,55,8.274808156,86.70446637,-1.156508163,-3.05E-05
206,56,10.99528776,131.8939715,-2.281244006,-3.05E-05
206,57,13.74287091,171.5350738,-2.923925293,-3.05E-05
206,58,13.72383341,154.5311105,-3.245989437,-3.05E-05
206,59,10.99086794,116.2322318,-2.58882767,-3.05E-05
206,60,8.186059427,69.06480185,-1.451945765,-3.05E-05
206,61,-8.187513537,115.1418563,0.870851644,-180
206,62,-11.61661819,69.84635187,7.196635525,-180
206,63,13.74911562,137.5478482,-3.647289492,-3.05E-05
206,64,-10.96850287,84.25841115,3.572317766,-180
206,65,10.96823955,99.02349168,-3.039116637,-3.05E-05
206,66,8.245141885,55.01468656,-1.822868356,-3.05E-05
