帧号,速度(m/s),距离(m),角度(deg),SNR(dB)
103,0.205736482,6,-22.88538048,15.14456308
103,0.548630618,5.5,-11.53695903,24.82302946
103,0.891524754,8,-31.48143216,27.87657509
103,1.097261236,7.5,-38.47859513,29.8716315
103,1.440155372,8,-44.427004,28.15195996
103,1.645891854,7.5,-36.07819997,21.52189237
103,2.125943645,11,-31.48143216,12.1359001
103,2.605995435,8,-32.23095264,39.0014792
103,2.74315309,6.5,-18.12620396,20.1154618
103,3.223204881,7,-8.305109528,14.59485819
103,3.428941362,8,-36.86989765,17.03597221
103,3.703256671,9,-30.73786867,15.91602789
103,4.251887289,8,-31.48143216,15.48984227
103,4.457623771,9.5,-40.12403459,21.54019366
103,4.526202598,8.5,-30,18.09333687
103,4.800517907,9,-35.29439468,22.21939681
103,7.955143961,19.5,-31.48143216,4.756272592
103,8.572353406,15,-30.73786867,7.602793545
103,8.70951106,18.5,-32.98670708,12.16898988
103,9.189562851,18.5,-18.12620396,14.20591631
103,9.326720506,19,-18.12620396,11.22235608
103,9.532456987,14,-34.51810784,14.19657882
103,9.669614642,18,-20.14788629,14.4573716
103,9.875351124,17.5,-15.46600995,18.46284775
103,10.08108761,15,-31.48143216,26.033566
103,10.08108761,18.5,-15.46600995,33.60676001
103,10.28682409,20.5,-12.83958841,17.07620328
103,10.69829705,16,-30,6.929824764
103,10.83545471,16.5,-29.2675776,11.46392781
103,11.04119119,17,-27.10068535,13.14956346
103,11.10977001,17.5,-27.10068535,12.3652904
103,12.68708304,29.5,-18.79736882,19.8441326
103,12.8242407,30.5,-18.12620396,28.8809585
103,12.89281952,32,-17.45760312,30.72122991
104,-11.75019906,188.0601793,2.969192712,6.108852653
104,-11.05901088,192.0614597,1.698365175,3.745407536
104,-11.05901088,194.0620999,1.698365175,9.302531907
104,-11.05901088,196.0627401,1.698365175,6.410436072
104,-8.337457423,196.0627401,0.445616044,4.992157347
104,-7.819066288,216.0691421,0.356464735,8.355843541
104,-7.775867026,212.0678617,0.267332166,4.807247018
104,-7.775867026,214.0685019,0.356464735,11.83514018
104,0.342894136,6,-9.594068227,28.24643633
104,1.097261236,6,-11.53695903,20.17819346
104,1.440155372,8,-36.07819997,18.18743167
104,1.508734199,6,-12.18747414,22.45756155
104,1.645891854,7.5,-35.29439468,17.93960919
104,2.125943645,6,-20.82749693,21.07525932
104,2.537416608,6.5,-21.51018827,17.16834584
104,2.605995435,8,-31.48143216,34.38008807
104,2.948889572,8.5,-42.67023387,14.33631388
104,3.428941362,7,-19.47122063,22.49825505
