Frame,ID,Speed,Range,Angle,Yaw
200,218,5.32625960373244,36.6725905550302,-8.23066747350209,-3.0517578125e-05
200,219,8.12666440469382,82.91209552921748,-6.057902113968279,-3.0517578125e-05
200,220,8.122720382135132,72.42370706805801,-6.939244335045876,-3.0517578125e-05
200,221,5.224039496608579,27.87213235076282,-10.857101904035508,-3.0517578125e-05
200,223,-5.526294378716378,152.04432123449232,1.9787825393339515,-180.0
200,224,4.686228738587332,17.308220429077632,-17.657364790588346,-3.0517578125e-05
200,225,-8.220928948715866,120.86532475980766,4.151538293258185,-180.0
200,226,-2.6801033442754383,188.54973969249616,0.5317909955224575,-180.0
200,227,8.044758817725866,57.48858714812529,-8.754680390809527,-3.0517578125e-05
200,229,-5.514090407374626,161.22592541454037,1.8660524130099236,-180.0
200,230,-8.199693053877818,131.33607829278267,3.8200446892522666,-180.0
200,231,-2.707933386149032,199.0447948026012,0.5037504550588987,-180.0
200,232,-8.217067254064128,145.32088390588882,3.4519573551954745,-180.0
200,233,-5.4579212916403606,172.77173944796195,1.741309975985958,-180.0
200,234,-2.694627008779949,206.85671520075527,0.484725913445406,-180.0
201,218,5.31997313967626,37.20437437192938,-8.112223387785372,-3.0517578125e-05
201,219,8.144378266646717,83.72646747475956,-5.998762140514049,-3.0517578125e-05
201,220,8.098157871235241,73.23342216237289,-6.862148590847853,-3.0517578125e-05
201,221,5.181147238553873,28.3897271214854,-10.65682078390678,-3.0517578125e-05
201,223,-5.48918296006614,151.49540058549994,1.9859552257966533,-180.0
201,224,4.737342249548358,17.779877297404713,-17.174185922068148,-3.0517578125e-05
201,225,-8.204042957656037,120.04489283149265,4.179961738723831,-180.0
201,226,-2.717116796675299,188.2780275317322,0.5325584681835176,-180.0
201,227,8.114180695323272,58.29977736184287,-8.631929913542441,-3.0517578125e-05
201,229,-5.509081818700044,160.67500642347528,1.872452968103592,-180.0
201,230,-8.251840991511155,130.51087040443664,3.8442346654011854,-180.0
201,231,-2.761502114628552,198.76864763405115,0.504450328280825,-180.0
201,232,-8.189395905703988,144.5019322318406,3.471544919955395,-180.0
201,233,-5.466144166855726,172.22511891255232,1.7468383818171158,-180.0
201,234,-2.744699112628276,206.5822548587828,0.485369924328335,-180.0
202,218,5.302885444326677,37.734432938756136,-7.997519031109372,-3.0517578125e-05
202,219,8.16938265629362,84.54332817167854,-5.940592262764454,-3.0517578125e-05
202,220,8.13964320961267,74.0472735612659,-6.786370225386788,-3.0517578125e-05
202,221,5.25374519006722,28.9146154995369,-10.461167357936654,-3.0517578125e-05
202,223,-5.536583222601285,150.94174147363506,1.993242707524584,-180.0
202,224,4.852078704625996,18.26311416924589,-16.706229949559628,-3.0517578125e-05
202,225,-8.212843123848842,119.22357972373818,4.208808585756071,-180.0
202,226,-2.658622713801975,188.01216338227667,0.5333115699400071,-180.0
202,227,8.054270732711522,59.10500537886677,-8.513451855235258,-3.0517578125e-05
202,229,-5.473122365970751,160.12769636287896,1.8788552285429423,-180.0
202,230,-8.221457932383203,129.6887074057468,3.8686422192193857,-180.0
202,231,-2.724578377409693,198.4961911581757,0.5051427562645008,-180.0
202,232,-8.210185646130707,143.68090173062944,3.491406761726111,-180.0
202,233,-5.479498096135982,171.67717707759854,1.752415500143694,-180.0
