帧号,车辆ID,速度(m/s),距离(m),角度(deg),Yaw(deg)
206,227,8.155665973,62.35383798,-8.066836492,-3.05E-05
206,229,-5.473877695,157.9243972,1.905077877,-180
206,230,-8.240804718,126.4037874,3.969337704,-180
206,231,-2.686318556,197.4142156,0.507911384,-180
206,232,-8.229681554,140.384649,3.573490755,-180
206,233,-5.450034976,169.4995208,1.774936933,-180
206,234,-2.736808635,205.2304321,0.488567062,-180
207,218,5.372451514,40.40339575,-7.466100499,-3.05E-05
207,219,8.169276381,88.64174941,-5.665003704,-3.05E-05
207,220,8.235199704,78.13565854,-6.429738774,-3.05E-05
207,221,5.27705745,31.52331605,-9.586905025,-3.05E-05
207,223,-5.547027686,148.1924685,2.030236774,-180
207,224,4.98965204,20.72711861,-14.67236359,-3.05E-05
207,225,-8.268535607,115.1131375,4.359381711,-180
207,226,-2.70113237,186.6633801,0.53716526,-180
207,227,8.13197125,63.16685443,-7.962330687,-3.05E-05
207,229,-5.5336661,157.3710294,1.911779234,-180
207,230,-8.179831487,125.5857833,3.99523387,-180
207,231,-2.69404494,197.1448037,0.508605498,-180
207,232,-8.187550844,139.5658741,3.594482403,-180
207,233,-5.520749619,168.947442,1.780738857,-180
207,234,-2.733860952,204.9570419,0.489218773,-180
208,218,5.419262508,40.94515524,-7.366762218,-3.05E-05
208,219,8.234672444,89.46515471,-5.612696829,-3.05E-05
208,220,8.147977025,78.95037343,-6.363112598,-3.05E-05
208,221,5.346694925,32.05762262,-9.425649482,-3.05E-05
208,223,-5.475092906,147.6449594,2.037768634,-180
208,224,5.062384215,21.23209607,-14.31585525,-3.05E-05
208,225,-8.164755423,114.2966348,4.39058478,-180
208,226,-2.704058628,186.392968,0.537944582,-180
208,227,8.117724279,63.97846842,-7.86067992,-3.05E-05
208,229,-5.483289288,156.8226952,1.918466309,-180
208,230,-8.284746615,124.7572865,4.021809212,-180
208,231,-2.685779541,196.876231,0.50929934,-180
208,232,-8.177457297,138.7481152,3.615695785,-180
208,233,-5.445182792,168.4029186,1.786498661,-180
208,234,-2.694850163,204.6875636,0.489862862,-180
209,218,5.392596233,41.4842451,-7.270510144,-3.05E-05
209,219,8.245392954,90.28963423,-5.561282192,-3.05E-05
209,220,8.246381601,79.77493025,-6.297075711,-3.05E-05
209,221,5.301863228,32.58746965,-9.271032525,-3.05E-05
209,223,-5.471133355,147.0978383,2.045351201,-180
209,224,5.049393892,21.73587417,-13.97722465,-3.05E-05
209,225,-8.21663035,113.4749425,4.422440847,-180
209,226,-2.707247561,186.1222439,0.538727072,-180
209,227,8.098007024,64.78810901,-7.761837713,-3.05E-05
209,229,-5.467901849,156.2758981,1.925181394,-180
209,230,-8.182016344,123.9390691,4.048404403,-180
209,231,-2.744990402,196.6017347,0.510010445,-180
209,232,-8.201542987,137.927947,3.637224829,-180
209,233,-5.539808161,167.8489371,1.792396879,-180
209,234,-2.758276621,204.4117267,0.490523908,-180
210,218,5.386579814,42.022751,-7.176847674,-3.05E-05
210,219,8.192483893,91.10882551,-5.511123268,-3.05E-05
210,220,8.120619522,80.58690533,-6.233375019,-3.05E-05
210,221,5.300898533,33.11723285,-9.121451176,-3.05E-05
210,223,-5.520732791,146.5457665,2.053059806,-180
210,224,5.061487018,22.24095051,-13.6535874,-3.05E-05
210,225,-8.262098639,112.6486969,4.454943455,-180
210,226,-2.710983133,185.8511469,0.539512925,-180
210,227,8.105292033,65.59848368,-7.665371518,-3.05E-05
210,229,-5.523541213,155.7235464,1.932012601,-180
210,230,-8.273711595,123.1116689,4.075658465,-180
210,231,-2.771028954,196.3246238,0.510730341,-180
210,232,-8.189774872,137.1089518,3.658980621,-180
210,233,-5.482887626,167.300652,1.798272928,-180
210,234,-2.723999606,204.1393291,0.491178465,-180
211,218,5.330593699,42.55565649,-7.086511143,-3.05E-05
211,219,8.254239988,91.934187,-5.461494733,-3.05E-05
211,220,8.208231729,81.40764135,-6.170286008,-3.05E-05
211,221,5.301746308,33.64709151,-8.976614144,-3.05E-05
211,223,-5.507068216,145.9950577,2.060807499,-180
211,224,5.051227946,22.74506681,-13.34531112,-3.05E-05
211,225,-8.282176413,111.8204548,4.488008147,-180
211,226,-2.755361248,185.5756135,0.540313991,-180
211,227,8.191245812,66.41745961,-7.570294453,-3.05E-05
211,229,-5.565373838,155.1670038,1.938944857,-180
211,230,-8.230464574,122.2885999,4.103136701,-180
211,231,-2.718389832,196.0527894,0.511438506,-180
211,232,-8.215941562,136.2873358,3.681069303,-180
211,233,-5.449378598,166.7557088,1.804151468,-180
211,234,-2.739328531,203.8653993,0.491838468,-180
212,218,5.370207112,43.09253224,-6.997778159,-3.05E-05
212,219,8.268153228,92.7609487,-5.412671426,-3.05E-05
212,220,8.146866347,82.22224878,-6.108920727,-3.05E-05
212,221,5.29292696,34.17609964,-8.836544872,-3.05E-05
212,223,-5.425379828,145.4525127,2.068497747,-180
212,224,5.15010319,23.25911661,-13.04509948,-3.05E-05
212,225,-8.255197443,110.9949049,4.521457935,-180
212,226,-2.666142626,185.3090004,0.54109139,-180
212,227,8.111198905,67.2284425,-7.47844789,-3.05E-05
212,229,-5.471774412,154.6198214,1.945809202,-180
212,230,-8.235008209,121.4650765,4.131003778,-180
212,231,-2.761251684,195.7766554,0.512159886,-180
212,232,-8.203563141,135.4669662,3.703392362,-180
212,233,-5.467927404,166.208904,1.810088854,-180
212,234,-2.686390973,203.5967615,0.492487445,-180
213,218,5.398668405,43.63225206,-6.910792514,-3.05E-05
213,219,8.169679114,93.5778676,-5.365280507,-3.05E-05
213,220,8.127265598,83.03490742,-6.048908776,-3.05E-05
213,221,5.356162402,34.7114232,-8.699201238,-3.05E-05
213,223,-5.481569856,144.9043549,2.076326076,-180
213,224,5.079310573,23.76618719,-12.76202155,-3.05E-05
213,225,-8.220988871,110.1727749,4.555268911,-180
213,226,-2.760784752,185.0329193,0.541898757,-180
213,227,8.091852895,68.03749361,-7.389020422,-3.05E-05
213,229,-5.434924415,154.0763243,1.952675608,-180
213,230,-8.187628598,120.6462842,4.159088915,-180
213,231,-2.637806154,195.5128732,0.5128509,-180
213,232,-8.222530631,134.6446959,3.726040684,-180
213,233,-5.492528605,165.6596585,1.816092221,-180
213,234,-2.690149598,203.3277429,0.49313906,-180
214,218,5.336050702,44.16573084,-6.826917142,-3.05E-05
214,219,8.233567489,94.40117694,-5.318352358,-3.05E-05
214,220,8.219898937,83.85681703,-5.989403343,-3.05E-05
214,221,5.297066228,35.24085946,-8.567519418,-3.05E-05
214,223,-5.436092819,144.3607357,2.084148339,-180
214,224,5.093085844,24.27466899,-12.49032974,-3.05E-05
214,225,-8.2309096,109.3496522,4.589631668,-180
214,226,-2.6824447,184.7646836,0.542685493,-180
214,227,8.143720293,68.85173523,-7.301158785,-3.05E-05
214,229,-5.501696398,153.5261533,1.959675874,-180
214,230,-8.249735407,119.8212887,4.187776067,-180
214,231,-2.65182449,195.2477039,0.513547431,-180
214,232,-8.180054296,133.8266763,3.748848678,-180
214,233,-5.43890299,165.1157665,1.822076451,-180
214,234,-2.684608369,203.0592813,0.493791048,-180
215,218,5.379605471,44.70355811,-6.744398862,-3.05E-05
215,219,8.238166817,95.22493649,-5.272214177,-3.05E-05
215,220,8.169130086,84.67367029,-5.931414799,-3.05E-05
215,221,5.284201166,35.7690361,-8.440078606,-3.05E-05
215,223,-5.509217492,143.8098135,2.092136064,-180
215,224,5.166472068,24.79053269,-12.22635648,-3.05E-05
215,225,-8.16020804,108.5335996,4.624215464,-180
215,226,-2.726675961,184.4920115,0.543487585,-180
215,227,8.139745123,69.66557632,-7.21540933,-3.05E-05
215,229,-5.506034341,152.9755469,1.966732121,-180
215,230,-8.243841941,118.9968789,4.216841277,-180
215,231,-2.673797037,194.9803164,0.514251706,-180
215,232,-8.253818224,133.0012722,3.772147551,-180
215,233,-5.446248695,164.5711328,1.828108495,-180
215,234,-2.742917598,202.7849874,0.494458983,-180
216,218,5.348755556,45.23830485,-6.66431192,-3.05E-05
216,219,8.221654617,96.04705428,-5.226960336,-3.05E-05
216,220,8.155755825,85.48916622,-5.874633927,-3.05E-05
216,221,5.343479244,36.30313719,-8.315020128,-3.05E-05
216,223,-5.49876414,143.2599348,2.100169962,-180
216,224,5.156121897,25.30542725,-11.97385807,-3.05E-05
216,225,-8.240851308,107.7094787,4.659674779,-180
216,226,-2.774913072,184.2145143,0.544306309,-180
216,227,8.166308101,70.48208038,-7.131385048,-3.05E-05
216,229,-5.502049879,152.4253431,1.973834161,-180
216,230,-8.204076541,118.1764468,4.246169944,-180
216,231,-2.767251512,194.7035975,0.514982597,-180
216,232,-8.173138337,132.1839399,3.795505923,-180
216,233,-5.521355435,164.019,1.834264508,-180
216,234,-2.693517858,202.5156347,0.495116647,-180
217,218,5.405266495,45.77871925,-6.585289839,-3.05E-05
217,219,8.146243892,96.86163134,-5.182882374,-3.05E-05
217,220,8.237784248,86.31287717,-5.81837599,-3.05E-05
217,221,5.326627391,36.83556316,-8.194001424,-3.05E-05
217,223,-5.448523699,142.7150747,2.108191641,-180
217,224,5.136061097,25.81835753,-11.73255719,-3.05E-05
217,225,-8.208080232,106.8886344,4.695538467,-180
217,226,-2.733782307,183.9411421,0.545115278,-180
217,227,8.194181553,71.30137558,-7.04902278,-3.05E-05
217,229,-5.448590928,151.8804776,1.980918035,-180
217,230,-8.281717623,117.3482516,4.276193217,-180
217,231,-2.699458925,194.4336417,0.515697629,-180
217,232,-8.195235669,131.364398,3.819219937,-180
217,233,-5.521042954,163.4668878,1.840461896,-180
217,234,-2.748868264,202.2407547,0.495789613,-180
218,218,5.399258288,46.31852161,-6.508210203,-3.05E-05
218,219,8.18833908,97.68042339,-5.139320221,-3.05E-05
218,220,8.257032557,87.1385241,-5.76305867,-3.05E-05
218,221,5.36642343,37.37198049,-8.075598227,-3.05E-05
218,223,-5.545811676,142.1604867,2.116419727,-180
218,224,5.201422874,26.33784919,-11.49795188,-3.05E-05
218,225,-8.173466859,106.0712551,4.731804196,-180
218,226,-2.665131258,183.6746317,0.54590626,-180
218,227,8.217986248,72.12306572,-6.968313388,-3.05E-05
218,229,-5.51412231,151.3290607,1.988139051,-180
218,230,-8.228430608,116.5253804,4.306447346,-180
218,231,-2.710801882,194.4336417,0.515697629,-180
218,232,-8.246085546,130.5397665,3.843382433,-180
218,233,-5.506442882,162.9162437,1.846684664,-180
218,234,-2.73438339,201.9673161,0.496460867,-180
219,218,5.407476351,46.85915652,-6.432803108,-3.05E-05
219,219,8.167067597,98.4970785,-5.096596072,-3.05E-05
219,220,8.177233626,87.9561754,-5.709305705,-3.05E-05
219,221,5.383890539,37.91015134,-7.960208573,-3.05E-05
219,223,-5.531577238,141.6073309,2.124690808,-180
219,224,5.164439353,26.85368558,-11.27416096,-3.05E-05
219,225,-8.183397857,105.2528736,4.768680652,-180
219,226,-2.764787407,183.3981427,0.546729287,-180
